Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 2 32 2 2
1 195 160 4 29
2 8 10 8 3
3 7 13 7 1
4 8 31 8 5
5 8 19 8 5
6 3 6 3 6
7 2 9 2 3
8 4 21 4 2
9 206 16 6 9
10 5 19 5 4
11 5 6 5 6
12 11 24 11 4
13 6 26 6 3
14 10 31 10 2
15 3 8 3 8
16 4 37 4 6
17 5 48 5 7
18 2 29 2 1
19 7 41 7 4
20 6 15 6 4
21 13 22 13 3
22 7 27 7 3
23 1 1 1 1
24 12 29 12 5
25 1 13 1 2
26 9 27 9 8
27 7 14 7 8
28 11 32 11 12
29 311 27 4 23
30 0 0 0 0
31 10 15 10 5
32 5 51 5 6
33 5 20 5 4
34 0 2 0 0
35 3 21 3 7
36 0 2 0 2
37 1 2 1 2
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 4 0 0 0
45 0 0 0 0
46 0 0 0 0
47 0 0 0 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 0 1 0 0
