Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 38 4 0
1 280 262 7 3
2 405 399 9 16
3 311 314 7 5
4 356 320 10 14
5 10 125 10 3
6 363 472 4 19
7 161 2 6 2
8 275 74 4 3
9 206 106 6 4
10 319 92 6 8
11 306 89 5 8
12 313 223 12 7
13 10 80 10 2
14 355 369 11 12
15 339 520 7 24
16 4 124 4 2
17 381 886 5 38
18 405 268 4 8
19 382 279 9 8
20 6 74 6 2
21 423 416 13 16
22 7 65 7 0
23 16 2 1 1
24 420 351 12 6
25 2 31 2 2
26 10 131 10 3
27 410 208 9 5
28 11 111 11 4
29 393 110 7 2
30 32 7 2 0
31 15 130 15 2
32 394 473 6 21
33 7 139 7 3
34 0 8 0 0
35 419 480 8 9
36 3 0 1 0
37 1 8 1 1
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 4 0 0 0
45 0 0 0 0
46 0 0 0 0
47 8 0 0 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 26 6 6 1
