Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 241 373 2 12
1 2 7 2 0
2 4 17 4 2
3 2 6 2 0
4 1 18 1 1
5 3 12 3 1
6 221 61 2 0
7 3 3 3 0
8 4 1 4 0
9 239 202 1 9
10 2 5 2 0
11 236 153 4 2
12 240 520 4 11
13 3 6 3 0
14 4 8 4 0
15 0 0 0 0
16 2 0 2 0
17 2 6 2 1
18 0 8 0 0
19 195 28 1 1
20 3 4 3 1
21 1 8 1 0
22 1 0 1 0
23 239 318 3 6
24 4 15 4 0
25 4 13 4 1
26 1 12 1 0
27 2 4 2 0
28 242 48 3 1
29 4 8 4 1
30 2 22 2 1
31 240 104 7 2
32 244 160 3 3
33 143 104 1 3
34 240 81 4 2
35 238 179 0 7
36 1 8 1 0
37 241 312 2 8
38 6 8 6 0
39 241 273 2 4
40 245 225 1 8
41 2 17 2 0
42 245 499 2 13
43 3 25 3 0
44 4 1 4 0
45 3 14 3 0
46 1 4 1 0
47 248 508 2 9
48 0 7 0 1
49 246 102 2 2
50 1 10 1 0
51 3 21 3 0
52 237 301 2 6
53 237 157 0 2
54 3 4 3 0
55 6 6 6 1
56 3 2 3 1
57 2 0 2 0
58 206 66 2 1
59 0 17 0 0
60 221 782 2 18
61 1 5 1 0
62 3 0 3 0
63 246 120 2 4
64 1 5 1 0
65 1 4 1 1
66 244 120 3 0
67 1 4 1 0
68 1 2 1 0
69 8 3 8 0
70 1 7 1 1
71 5 1 5 0
72 217 178 3 7
73 2 4 2 0
74 193 98 2 3
75 236 236 1 4
76 243 176 0 7
77 244 162 3 3
78 1 0 1 0
79 1 15 1 0
80 245 165 1 3
81 246 190 3 4
82 4 11 4 0
83 204 704 0 17
84 2 3 2 0
85 244 181 1 5
86 140 96 2 4
87 176 214 1 5
88 2 0 2 0
89 2 14 2 0
90 238 139 2 2
91 127 93 4 0
92 5 1 5 0
93 121 118 2 2
94 1 1 1 0
95 0 0 0 0
96 223 88 3 5
97 0 5 0 0
