Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 2 8 2 2
1 2 9 2 0
2 4 18 4 3
3 2 4 2 0
4 1 11 1 3
5 207 115 2 10
6 2 2 2 0
7 3 6 3 1
8 4 1 4 0
9 1 13 1 0
10 2 6 2 0
11 4 3 4 0
12 214 242 2 29
13 3 11 3 0
14 4 5 4 0
15 0 0 0 0
16 2 0 2 0
17 2 4 2 1
18 0 3 0 0
19 1 3 1 0
20 3 3 3 1
21 1 6 1 0
22 1 0 1 0
23 3 17 3 1
24 4 9 4 0
25 200 176 4 13
26 1 11 1 2
27 2 6 2 0
28 3 3 3 0
29 4 4 4 1
30 2 12 2 2
31 7 7 7 0
32 3 10 3 2
33 1 1 1 0
34 3 7 3 1
35 0 17 0 1
36 1 7 1 1
37 2 6 2 1
38 6 5 6 1
39 2 5 2 0
40 1 4 1 1
41 2 13 2 0
42 2 16 2 2
43 3 14 3 1
44 236 100 4 16
45 3 13 3 1
46 1 6 1 1
47 2 0 2 0
48 0 8 0 1
49 236 160 2 21
50 1 6 1 0
51 3 12 3 1
52 1 15 1 0
53 228 172 0 12
54 3 2 3 1
55 5 3 5 1
56 3 3 3 1
57 1 0 1 0
58 2 1 2 0
59 0 12 0 1
60 2 12 2 1
61 141 144 1 13
62 0 0 0 0
63 1 0 1 0
64 1 2 1 0
65 1 3 1 1
66 214 117 3 6
67 1 5 1 0
68 1 3 1 0
69 8 5 8 0
70 1 6 1 1
71 4 1 4 0
72 3 14 3 0
73 1 2 1 0
74 2 3 2 0
75 1 10 1 2
76 0 0 0 0
77 3 8 3 0
78 1 0 1 0
79 1 7 1 0
80 1 1 1 0
81 3 0 3 0
82 3 4 3 0
83 0 26 0 1
84 2 2 2 0
85 1 3 1 1
86 2 4 2 1
87 1 1 1 0
88 2 0 2 0
89 2 15 2 1
90 227 200 2 19
91 4 5 4 0
92 5 1 5 0
93 2 9 2 1
94 127 252 1 18
95 0 0 0 0
96 3 7 3 1
97 0 6 0 1
