Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 362 151 4 8
1 8 12 8 0
2 535 796 12 7
3 368 516 7 15
4 476 210 10 6
5 479 1699 12 35
6 7 34 7 0
7 503 84 9 3
8 371 78 4 2
9 361 142 7 4
10 485 121 8 4
11 502 377 12 14
12 542 797 13 8
13 15 63 15 1
14 479 217 15 2
15 475 1621 8 32
16 532 84 8 2
17 534 2147 9 57
18 544 345 5 7
19 542 298 10 9
20 548 363 7 7
21 541 266 13 11
22 543 561 11 8
23 251 28 3 4
24 541 382 13 9
25 255 266 5 4
26 536 175 11 2
27 539 113 12 3
28 491 589 11 16
29 8 31 8 1
30 474 45 5 0
31 538 300 15 8
32 534 578 7 31
33 542 2435 8 65
34 52 16 2 0
35 9 37 9 1
36 241 14 11 1
37 480 38 11 1
38 7 0 3 0
39 14 0 8 0
40 1 6 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 4 0 0 0
45 0 0 0 0
46 0 0 0 0
47 247 5 6 0
48 6 0 0 0
49 7 0 7 0
50 14 0 10 0
51 509 12 9 0
