Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 32 4 0
1 8 20 8 0
2 445 402 10 19
3 7 20 7 0
4 428 351 9 15
5 11 64 11 1
6 428 271 7 15
7 7 20 7 1
8 297 54 4 3
9 6 17 6 2
10 6 27 6 2
11 428 111 7 5
12 12 70 12 2
13 12 58 12 2
14 427 311 14 18
15 409 578 7 19
16 444 161 4 9
17 446 1087 6 47
18 5 54 5 1
19 454 368 8 15
20 6 16 6 0
21 13 31 13 1
22 8 28 8 0
23 92 17 3 2
24 468 259 11 9
25 94 104 3 4
26 10 39 10 0
27 9 36 9 1
28 429 243 10 21
29 468 265 8 6
30 46 4 2 0
31 15 39 15 0
32 7 95 7 0
33 469 1178 5 64
34 0 2 0 0
35 9 43 9 2
36 3 2 3 0
37 8 11 8 0
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 4 0 0 0
45 0 0 0 0
46 0 0 0 0
47 0 0 0 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 48 2 2 0
