Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 245 381 2 4
1 242 176 2 1
2 241 354 4 2
3 247 302 3 2
4 243 385 1 2
5 238 370 3 4
6 235 51 2 1
7 243 54 3 0
8 244 115 4 2
9 1 10 1 0
10 2 6 2 0
11 238 333 4 5
12 241 755 4 6
13 181 239 3 1
14 184 291 4 5
15 249 1431 0 15
16 245 326 2 8
17 206 110 2 2
18 206 8 0 0
19 207 164 2 0
20 242 29 3 1
21 243 84 1 0
22 136 96 1 2
23 241 164 3 3
24 4 13 4 0
25 245 103 4 1
26 187 678 1 11
27 186 92 2 1
28 246 71 3 0
29 247 115 4 2
30 244 107 2 1
31 242 96 7 0
32 245 103 3 1
33 148 86 1 0
34 246 127 4 2
35 242 106 0 1
36 145 123 1 2
37 247 324 2 4
38 7 7 7 0
39 247 215 2 2
40 246 172 1 1
41 245 213 2 3
42 246 357 2 4
43 239 382 3 3
44 248 106 5 1
45 240 346 3 5
46 241 111 1 4
47 249 354 2 4
48 247 380 1 9
49 249 81 2 0
50 245 226 1 2
51 3 37 3 0
52 240 294 2 4
53 239 134 0 1
54 239 178 3 1
55 245 201 6 3
56 236 83 3 3
57 243 338 2 4
58 225 117 2 0
59 243 137 0 2
60 237 1042 2 7
61 184 88 1 1
62 245 179 3 1
63 248 197 2 0
64 242 57 1 1
65 202 132 1 1
66 3 3 3 0
67 190 269 1 1
68 191 64 1 1
69 242 85 8 3
70 199 159 1 4
71 238 193 5 1
72 229 321 3 2
73 247 274 2 6
74 199 97 2 2
75 238 209 1 4
76 0 0 0 0
77 247 160 3 0
78 230 140 1 4
79 244 214 1 2
80 246 160 1 0
81 247 108 3 1
82 4 9 4 0
83 224 821 0 12
84 2 3 2 0
85 247 134 1 2
86 144 153 2 2
87 179 170 1 2
88 249 238 2 3
89 237 311 2 4
90 242 159 2 1
91 130 73 4 0
92 246 210 5 4
93 122 48 2 1
94 138 211 1 2
95 118 111 0 0
96 247 184 3 1
97 72 52 0 0
