Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 18 4 0
1 330 354 7 10
2 470 763 9 28
3 7 18 7 0
4 429 297 10 10
5 10 87 10 4
6 6 48 6 0
7 407 43 6 3
8 4 24 4 1
9 331 123 6 3
10 410 220 6 12
11 6 68 6 1
12 455 331 12 10
13 479 1038 14 47
14 425 441 13 16
15 407 933 8 43
16 5 44 5 0
17 7 127 7 5
18 5 43 5 1
19 478 532 8 23
20 7 19 7 0
21 477 481 13 11
22 10 36 10 0
23 14 1 1 1
24 12 38 12 0
25 2 26 2 2
26 10 39 10 2
27 474 318 10 8
28 415 325 11 15
29 477 95 8 8
30 195 16 3 0
31 474 227 14 7
32 469 531 7 29
33 7 74 7 3
34 0 7 0 0
35 9 59 9 1
36 17 0 2 0
37 51 14 9 1
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 10 5 10 0
45 0 0 0 0
46 0 0 0 0
47 0 0 0 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 62 4 7 0
