Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 36 4 0
1 8 14 8 0
2 526 1106 13 38
3 7 13 7 0
4 10 40 10 2
5 13 70 13 2
6 7 36 7 1
7 480 93 7 4
8 318 170 4 9
9 7 8 7 1
10 7 25 7 1
11 492 215 12 19
12 527 876 14 33
13 15 36 15 2
14 477 481 15 22
15 8 60 8 5
16 8 45 8 1
17 511 1219 9 87
18 5 36 5 1
19 10 29 10 1
20 7 14 7 0
21 13 36 13 2
22 522 442 9 21
23 3 20 3 1
24 14 33 14 0
25 164 44 3 5
26 11 57 11 6
27 9 29 9 1
28 479 418 11 25
29 9 30 9 3
30 472 47 5 0
31 500 631 15 18
32 7 73 7 2
33 8 63 8 3
34 0 5 0 0
35 501 505 8 33
36 230 14 11 2
37 469 76 10 1
38 7 0 0 0
39 1 6 1 0
40 0 6 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 0 0 0 0
45 0 0 0 0
46 0 0 0 0
47 8 0 0 0
48 0 0 0 0
49 7 0 7 0
50 0 0 0 0
51 401 125 9 1
