Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 2 9 2 1
1 2 5 2 0
2 238 481 4 5
3 244 343 2 8
4 240 335 1 1
5 3 17 3 1
6 2 3 2 0
7 3 5 3 0
8 241 91 4 5
9 238 419 1 8
10 239 76 2 1
11 230 199 4 4
12 3 7 3 1
13 181 267 3 3
14 4 11 4 0
15 246 1094 0 22
16 242 605 2 8
17 1 4 1 1
18 188 5 0 0
19 1 5 1 0
20 3 2 3 0
21 240 140 1 0
22 1 0 1 0
23 3 16 3 0
24 239 330 4 1
25 242 130 4 1
26 1 17 1 1
27 186 86 2 4
28 243 91 3 0
29 244 175 4 3
30 2 16 2 0
31 239 71 7 3
32 242 81 3 1
33 148 71 1 5
34 240 109 4 5
35 0 17 0 0
36 145 88 1 2
37 2 8 2 0
38 7 7 7 0
39 241 270 2 3
40 1 2 1 1
41 242 243 2 5
42 243 273 2 7
43 3 18 3 1
44 245 93 5 0
45 237 198 3 4
46 1 2 1 0
47 2 0 2 0
48 0 5 0 1
49 246 79 2 1
50 242 271 1 7
51 237 296 3 5
52 2 9 2 0
53 0 11 0 0
54 239 173 3 2
55 6 3 6 0
56 232 72 3 4
57 242 331 2 4
58 226 126 2 3
59 239 231 0 4
60 2 10 2 0
61 1 8 1 0
62 3 0 3 0
63 245 261 1 6
64 240 122 1 3
65 1 2 1 0
66 242 155 3 3
67 1 3 1 0
68 1 1 1 0
69 8 3 8 0
70 1 5 1 0
71 5 3 5 0
72 3 14 3 0
73 244 301 2 7
74 193 120 2 3
75 238 271 1 9
76 0 0 0 0
77 3 4 3 0
78 230 309 1 9
79 1 15 1 0
80 243 133 1 2
81 3 0 3 0
82 4 6 4 0
83 227 627 0 15
84 2 3 2 0
85 1 2 1 0
86 144 76 2 2
87 1 3 1 0
88 2 0 2 0
89 236 260 2 8
90 240 142 2 1
91 4 16 4 0
92 5 3 5 0
93 2 3 2 0
94 1 2 1 0
95 0 0 0 0
96 244 103 3 2
97 70 64 0 1
