Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 3 31 3 2
1 5 18 5 3
2 483 536 10 56
3 7 13 7 0
4 10 39 10 5
5 11 55 11 4
6 6 43 6 2
7 8 25 8 1
8 4 18 4 2
9 276 69 6 8
10 6 17 6 3
11 6 36 6 3
12 485 337 12 45
13 15 31 15 2
14 15 32 15 2
15 8 35 8 5
16 6 33 6 2
17 7 63 7 7
18 5 34 5 1
19 9 34 9 3
20 7 17 7 1
21 13 41 13 3
22 9 26 9 3
23 1 1 1 1
24 12 42 12 3
25 1 8 1 2
26 10 51 10 7
27 10 40 10 1
28 11 52 11 7
29 8 22 8 3
30 4 21 4 0
31 484 180 15 25
32 484 375 7 86
33 7 51 7 4
34 0 5 0 0
35 9 45 9 4
36 0 2 0 2
37 4 10 4 1
38 0 0 0 0
39 12 0 7 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 4 0 0 0
45 0 0 0 0
46 0 0 0 0
47 8 0 0 0
48 2 0 0 0
49 0 0 0 0
50 14 0 8 0
51 7 8 7 0
