Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 240 321 2 5
1 2 16 2 1
2 237 404 4 5
3 2 22 2 0
4 238 352 1 2
5 3 28 3 1
6 2 8 2 0
7 236 47 3 0
8 238 104 4 1
9 236 376 1 3
10 235 75 2 1
11 219 141 4 0
12 211 332 2 5
13 177 273 3 2
14 4 27 4 0
15 0 0 0 0
16 241 347 2 9
17 109 45 2 1
18 61 7 0 0
19 113 82 1 1
20 168 8 3 1
21 239 199 1 0
22 134 67 1 0
23 234 244 3 3
24 233 278 4 4
25 225 217 4 3
26 185 295 1 9
27 184 56 2 0
28 241 60 3 1
29 4 13 4 1
30 2 35 2 0
31 238 173 7 0
32 243 87 3 1
33 144 78 1 0
34 237 223 4 3
35 235 206 0 4
36 141 127 1 1
37 238 321 2 9
38 6 22 6 1
39 238 222 2 7
40 243 161 1 3
41 240 203 2 1
42 243 316 2 2
43 230 304 3 5
44 245 133 5 1
45 231 197 3 4
46 235 145 1 3
47 2 0 2 0
48 238 316 0 5
49 241 177 2 4
50 1 59 1 0
51 3 44 3 0
52 221 277 2 3
53 0 53 0 0
54 231 195 3 3
55 240 289 6 4
56 219 97 3 2
57 2 0 2 0
58 203 104 2 0
59 0 43 0 0
60 226 391 2 12
61 177 98 1 3
62 239 205 3 1
63 1 2 1 0
64 231 82 1 1
65 190 252 1 2
66 242 126 3 1
67 187 292 1 3
68 188 104 1 0
69 235 182 8 2
70 1 12 1 1
71 5 5 5 0
72 208 294 3 8
73 2 16 2 0
74 2 32 2 0
75 216 280 1 9
76 0 0 0 0
77 210 292 3 2
78 176 237 1 8
79 239 352 1 3
80 213 197 1 5
81 233 244 3 7
82 4 21 4 0
83 0 95 0 0
84 239 367 2 8
85 197 260 1 2
86 2 12 2 0
87 170 290 1 1
88 2 0 2 0
89 226 264 2 1
90 209 154 2 6
91 129 73 4 1
92 5 4 5 0
93 2 34 2 0
94 1 7 1 0
95 105 96 0 1
96 202 114 3 3
97 0 18 0 1
