Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 237 274 2 10
1 2 7 2 0
2 4 16 4 2
3 3 7 3 0
4 235 203 1 6
5 3 15 3 1
6 230 63 2 2
7 236 86 3 2
8 4 1 4 0
9 1 5 1 0
10 2 3 2 0
11 4 3 4 0
12 2 4 2 1
13 3 7 3 0
14 183 400 4 7
15 238 586 0 20
16 240 274 2 10
17 2 5 2 1
18 195 97 0 0
19 195 56 1 2
20 231 28 3 2
21 1 5 1 0
22 1 0 1 0
23 3 13 3 0
24 4 12 4 0
25 4 10 4 1
26 1 16 1 2
27 2 4 2 0
28 3 5 3 0
29 4 6 4 1
30 2 10 2 0
31 7 8 7 0
32 3 6 3 0
33 144 106 1 4
34 240 213 4 3
35 0 10 0 0
36 1 6 1 0
37 2 12 2 0
38 192 116 6 1
39 2 5 2 0
40 242 235 1 7
41 2 8 2 0
42 235 337 2 11
43 233 336 3 18
44 4 1 4 0
45 3 13 3 0
46 236 187 1 5
47 2 0 2 0
48 241 401 0 12
49 2 0 2 0
50 1 7 1 0
51 3 16 3 0
52 2 19 2 0
53 0 21 0 0
54 235 215 3 2
55 241 250 5 10
56 3 2 3 1
57 2 0 2 0
58 2 4 2 0
59 0 8 0 0
60 2 8 2 0
61 1 3 1 0
62 241 80 3 3
63 1 0 1 0
64 1 6 1 0
65 1 3 1 1
66 3 6 3 0
67 1 5 1 0
68 1 1 1 0
69 237 118 8 5
70 1 10 1 1
71 5 3 5 0
72 210 280 3 8
73 2 4 2 0
74 2 5 2 0
75 1 13 1 2
76 0 0 0 0
77 3 5 3 0
78 211 178 1 7
79 1 11 1 0
80 1 1 1 0
81 239 183 3 8
82 3 5 3 0
83 186 420 0 13
84 236 263 2 11
85 1 3 1 1
86 141 75 2 3
87 1 1 1 0
88 2 0 2 0
89 2 11 2 0
90 2 1 2 0
91 4 8 4 0
92 242 122 5 5
93 2 5 2 0
94 1 1 1 0
95 112 46 0 3
96 3 8 3 0
97 0 3 0 0
