Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 245 407 2 5
1 241 156 2 0
2 241 474 4 5
3 247 323 3 4
4 243 374 1 2
5 239 317 3 2
6 236 37 2 0
7 242 75 3 1
8 244 89 4 4
9 241 375 1 2
10 242 62 2 0
11 231 395 4 4
12 242 711 4 5
13 181 226 3 2
14 184 292 4 5
15 249 994 0 14
16 245 421 2 5
17 200 80 2 1
18 200 17 0 0
19 200 159 1 1
20 3 2 3 0
21 243 139 1 1
22 135 71 1 1
23 241 155 3 3
24 241 384 4 1
25 245 100 4 2
26 186 411 1 10
27 185 99 2 2
28 246 59 3 0
29 247 149 4 3
30 2 14 2 0
31 242 125 7 1
32 245 102 3 0
33 147 75 1 1
34 244 151 4 3
35 242 162 0 2
36 144 98 1 2
37 2 11 2 0
38 223 184 7 0
39 245 229 2 1
40 1 2 1 1
41 245 245 2 1
42 246 295 2 5
43 239 244 3 4
44 248 132 5 0
45 240 252 3 5
46 242 165 1 1
47 249 366 2 5
48 245 424 0 4
49 249 113 2 1
50 245 364 1 1
51 239 399 3 3
52 239 247 2 6
53 0 13 0 0
54 240 221 3 3
55 245 216 6 2
56 237 123 3 1
57 244 352 2 6
58 226 92 2 0
59 0 17 0 0
60 2 13 2 0
61 184 90 1 1
62 245 155 3 2
63 248 195 2 3
64 242 104 1 0
65 192 118 1 0
66 245 160 3 1
67 189 290 1 1
68 190 56 1 0
69 242 87 8 2
70 204 179 1 4
71 238 158 5 1
72 230 318 3 2
73 247 323 2 7
74 200 127 2 0
75 239 220 1 4
76 245 182 0 6
77 3 7 3 0
78 216 143 1 1
79 242 260 1 4
80 246 213 1 1
81 247 134 3 0
82 240 211 4 3
83 195 879 0 14
84 2 3 2 0
85 247 180 1 3
86 143 140 2 0
87 180 230 1 1
88 247 234 2 4
89 238 261 2 2
90 243 193 2 0
91 129 79 4 0
92 245 260 5 7
93 122 60 2 0
94 136 200 1 3
95 116 110 0 0
96 247 139 3 1
97 71 60 0 0
