Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 356 143 4 4
1 359 264 8 10
2 533 593 13 11
3 362 372 7 9
4 485 149 10 4
5 484 1535 12 45
6 496 270 6 12
7 505 23 9 3
8 4 11 4 0
9 359 135 8 2
10 489 155 7 9
11 498 439 9 12
12 540 467 14 11
13 541 1926 15 49
14 483 284 15 5
15 483 1923 8 35
16 530 94 6 2
17 8 154 8 4
18 542 214 5 5
19 10 22 10 0
20 546 298 8 7
21 539 228 13 9
22 541 388 12 5
23 37 5 6 1
24 539 153 13 4
25 4 22 4 0
26 534 176 11 2
27 12 26 12 0
28 486 355 11 15
29 9 21 9 1
30 5 29 5 0
31 536 268 15 3
32 532 464 8 31
33 540 2744 8 76
34 1 8 1 0
35 536 176 9 7
36 241 14 11 1
37 11 32 11 0
38 0 7 0 0
39 8 6 7 0
40 2 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 350 5 10 0
45 0 0 0 0
46 0 0 0 0
47 6 5 6 0
48 6 0 0 0
49 7 0 7 0
50 14 0 10 0
51 506 12 9 0
