Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 214 205 1 12
1 224 233 2 8
2 4 15 4 2
3 2 4 2 0
4 1 19 1 1
5 225 92 3 5
6 2 2 2 0
7 3 3 3 0
8 4 1 4 0
9 1 6 1 0
10 2 4 2 0
11 4 12 4 0
12 232 339 3 17
13 3 5 3 0
14 4 9 4 0
15 0 0 0 0
16 2 0 2 0
17 2 4 2 1
18 0 3 0 0
19 1 3 1 0
20 3 4 3 1
21 1 5 1 0
22 1 0 1 0
23 231 230 3 11
24 4 8 4 0
25 4 10 4 1
26 182 316 1 19
27 184 44 2 2
28 3 5 3 0
29 4 7 4 1
30 2 15 2 1
31 7 5 7 0
32 3 9 3 0
33 1 1 1 0
34 4 6 4 0
35 228 303 0 12
36 1 4 1 0
37 2 6 2 0
38 189 51 6 2
39 2 7 2 0
40 1 4 1 1
41 2 13 2 0
42 2 16 2 1
43 3 21 3 0
44 4 1 4 0
45 3 12 3 0
46 1 5 1 0
47 2 0 2 0
48 0 4 0 1
49 236 180 2 7
50 1 8 1 0
51 3 13 3 0
52 1 21 1 0
53 228 130 0 8
54 3 3 3 0
55 4 2 4 1
56 3 4 3 1
57 1 0 1 0
58 191 157 2 1
59 0 14 0 0
60 204 342 2 24
61 175 67 1 9
62 3 0 3 0
63 1 0 1 0
64 1 3 1 0
65 1 3 1 0
66 3 6 3 0
67 1 4 1 0
68 186 59 1 1
69 8 3 8 0
70 1 6 1 1
71 187 155 3 13
72 3 10 3 0
73 2 3 2 0
74 2 5 2 0
75 1 9 1 2
76 0 0 0 0
77 233 94 3 5
78 1 0 1 0
79 1 13 1 0
80 1 2 1 0
81 3 0 3 0
82 3 7 3 0
83 186 503 0 22
84 2 2 2 0
85 1 3 1 1
86 2 5 2 1
87 1 4 1 0
88 233 333 2 7
89 2 13 2 0
90 2 1 2 0
91 4 8 4 0
92 5 1 5 0
93 2 6 2 0
94 1 4 1 1
95 0 0 0 0
96 196 55 3 5
97 0 1 0 0
