Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 1 8 1 1
1 2 8 2 1
2 203 107 4 13
3 2 7 2 0
4 1 14 1 0
5 3 11 3 2
6 2 2 2 0
7 152 31 3 5
8 4 1 4 0
9 1 7 1 0
10 2 4 2 0
11 4 6 4 0
12 2 2 2 1
13 3 10 3 0
14 3 9 3 0
15 0 0 0 0
16 2 0 2 0
17 2 6 2 1
18 0 6 0 0
19 11 0 1 0
20 2 3 2 1
21 1 12 1 1
22 1 0 1 0
23 3 13 3 0
24 3 13 3 0
25 4 14 4 1
26 1 8 1 1
27 1 10 1 1
28 2 4 2 1
29 4 2 4 1
30 2 22 2 2
31 6 15 6 0
32 3 9 3 1
33 1 4 1 0
34 4 5 4 1
35 0 9 0 0
36 1 14 1 0
37 2 10 2 0
38 5 7 5 1
39 2 8 2 0
40 1 4 1 1
41 2 15 2 0
42 2 15 2 2
43 210 219 3 30
44 4 2 4 0
45 3 29 3 1
46 1 8 1 2
47 2 0 2 0
48 0 10 0 1
49 2 0 2 0
50 1 16 1 1
51 3 16 3 0
52 1 24 1 0
53 205 171 0 16
54 3 5 3 0
55 5 5 5 1
56 3 3 3 1
57 1 0 1 0
58 177 39 2 15
59 209 197 0 17
60 2 11 2 1
61 1 3 1 0
62 1 0 1 0
63 199 171 0 15
64 1 2 1 0
65 1 3 1 0
66 3 2 3 0
67 1 8 1 0
68 1 5 1 0
69 8 7 8 0
70 1 9 1 1
71 161 108 3 15
72 2 16 2 1
73 2 8 2 0
74 2 7 2 0
75 1 11 1 1
76 0 0 0 0
77 3 10 3 2
78 1 0 1 0
79 1 20 1 1
80 1 2 1 0
81 3 0 3 0
82 3 5 3 0
83 0 29 0 2
84 2 6 2 1
85 0 5 0 1
86 2 9 2 1
87 147 129 1 25
88 2 0 2 0
89 2 23 2 1
90 2 1 2 0
91 4 9 4 0
92 5 4 5 0
93 2 10 2 1
94 1 7 1 1
95 0 0 0 0
96 2 8 2 1
97 0 6 0 1
