Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 24 4 2
1 292 538 4 27
2 12 49 12 0
3 7 15 7 0
4 10 38 10 3
5 10 39 10 1
6 444 288 6 21
7 8 18 8 0
8 4 12 4 2
9 284 64 6 7
10 6 20 6 1
11 459 159 7 19
12 13 35 13 3
13 14 39 14 3
14 13 32 13 0
15 8 35 8 2
16 6 44 6 2
17 7 81 7 7
18 5 36 5 1
19 10 32 10 1
20 7 13 7 0
21 13 34 13 3
22 504 264 10 24
23 5 10 5 1
24 12 33 12 3
25 2 13 2 2
26 10 39 10 3
27 11 32 11 1
28 11 34 11 2
29 501 122 8 11
30 4 21 4 1
31 498 183 14 19
32 495 470 6 47
33 502 1307 6 102
34 0 3 0 0
35 9 38 9 2
36 11 14 11 2
37 2 3 2 1
38 0 0 0 0
39 12 0 7 0
40 2 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 0 0 0 0
45 0 0 0 0
46 0 0 0 0
47 0 0 0 0
48 0 0 0 0
49 0 0 0 0
50 9 5 9 0
51 9 9 9 0
