Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 2 10 2 0
1 240 119 2 1
2 4 19 4 1
3 246 295 2 2
4 1 16 1 1
5 3 18 3 0
6 234 49 2 1
7 241 39 3 0
8 242 78 4 3
9 239 328 1 6
10 2 9 2 0
11 4 15 4 0
12 240 820 4 5
13 3 6 3 0
14 184 318 4 7
15 248 1222 0 16
16 243 367 2 7
17 207 115 2 2
18 207 8 1 0
19 208 199 2 2
20 240 19 3 1
21 241 132 1 0
22 136 73 1 1
23 239 166 3 4
24 240 529 4 3
25 4 9 4 1
26 186 630 1 13
27 2 4 2 0
28 3 3 3 0
29 246 134 4 1
30 241 77 2 1
31 240 108 7 0
32 244 110 3 0
33 1 2 1 0
34 245 177 4 5
35 0 11 0 1
36 145 95 1 4
37 2 8 2 0
38 6 7 6 0
39 246 213 2 2
40 245 196 1 1
41 244 152 2 3
42 245 390 2 7
43 237 341 3 2
44 247 102 5 0
45 238 323 3 5
46 1 3 1 0
47 248 207 2 6
48 246 517 1 10
49 2 0 2 0
50 244 286 1 4
51 3 24 3 0
52 237 234 2 6
53 237 138 0 2
54 238 221 3 1
55 244 193 6 3
56 231 68 3 3
57 241 318 2 5
58 223 89 2 1
59 242 163 0 3
60 2 11 2 0
61 182 105 1 2
62 243 134 3 1
63 247 204 2 4
64 240 72 1 0
65 1 2 1 0
66 244 143 3 1
67 190 352 1 1
68 191 38 1 0
69 240 69 8 3
70 190 166 1 3
71 5 2 5 0
72 3 8 3 0
73 246 289 2 5
74 196 104 2 2
75 1 10 1 1
76 243 134 0 4
77 246 153 3 1
78 227 124 1 2
79 243 247 1 3
80 245 215 1 1
81 3 0 3 0
82 238 194 4 2
83 190 831 0 13
84 2 3 2 0
85 246 145 1 4
86 144 80 2 1
87 180 213 1 5
88 248 220 2 2
89 2 10 2 0
90 2 1 2 0
91 130 89 4 0
92 245 208 5 5
93 2 5 2 0
94 138 276 1 3
95 115 121 0 1
96 3 10 3 0
97 0 1 0 0
