Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 298 253 4 1
1 289 367 7 11
2 8 109 8 0
3 304 384 7 7
4 9 129 9 4
5 12 143 12 2
6 6 74 6 1
7 132 11 3 0
8 253 128 4 4
9 6 29 6 2
10 382 59 6 10
11 8 74 8 0
12 264 224 12 18
13 447 436 12 22
14 382 321 11 9
15 7 58 7 2
16 309 176 5 5
17 6 211 6 6
18 458 268 4 6
19 370 302 8 10
20 454 342 8 16
21 13 62 13 2
22 393 232 10 8
23 1 13 1 1
24 11 73 11 2
25 58 16 3 2
26 10 72 10 1
27 7 44 7 0
28 10 76 10 3
29 369 136 7 7
30 0 22 0 0
31 14 56 14 0
32 446 509 7 18
33 447 942 7 80
34 0 6 0 0
35 443 318 8 15
36 0 2 0 1
37 13 1 2 1
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 7 5 7 0
45 0 0 0 0
46 0 0 0 0
47 8 0 0 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 30 1 7 0
