Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 2 17 2 1
1 227 144 2 1
2 236 449 4 4
3 240 358 2 5
4 236 382 1 3
5 233 445 2 3
6 2 6 2 0
7 3 3 3 0
8 238 91 4 4
9 1 14 1 0
10 237 63 2 0
11 223 223 4 2
12 3 8 3 1
13 179 244 3 1
14 182 249 4 4
15 244 952 0 12
16 239 428 2 5
17 141 62 2 1
18 156 31 0 0
19 140 140 1 1
20 238 32 3 0
21 238 136 1 2
22 136 74 1 0
23 3 14 3 0
24 4 13 4 0
25 238 105 4 4
26 185 330 1 6
27 184 89 2 2
28 3 4 3 0
29 240 126 4 2
30 237 119 2 0
31 237 106 7 0
32 240 105 3 0
33 147 69 1 1
34 241 155 4 1
35 0 23 0 0
36 144 102 1 2
37 242 330 2 2
38 206 127 6 4
39 241 202 2 1
40 1 4 1 1
41 2 7 2 0
42 241 312 2 8
43 233 356 3 2
44 241 144 5 0
45 3 16 3 0
46 1 3 1 0
47 244 395 2 5
48 241 303 0 4
49 242 87 2 0
50 240 356 1 2
51 3 32 3 0
52 235 213 2 5
53 233 201 0 1
54 236 195 3 0
55 241 231 5 4
56 225 121 3 1
57 239 236 2 5
58 220 123 2 0
59 0 15 0 0
60 229 726 2 9
61 182 103 1 1
62 240 147 3 1
63 242 208 1 5
64 237 130 1 3
65 191 103 1 0
66 240 97 3 2
67 188 277 1 2
68 189 51 1 0
69 237 78 8 4
70 197 165 1 4
71 231 150 5 3
72 222 398 3 4
73 240 252 2 2
74 194 88 2 0
75 235 250 1 5
76 240 146 0 6
77 3 5 3 0
78 1 0 1 0
79 237 196 1 3
80 1 2 1 0
81 242 176 3 1
82 236 171 4 2
83 189 624 0 11
84 241 603 2 10
85 240 203 1 3
86 143 115 2 1
87 177 235 1 1
88 244 218 2 4
89 233 264 2 3
90 237 149 2 0
91 4 5 4 0
92 240 207 5 3
93 123 60 2 1
94 137 155 1 4
95 117 111 0 1
96 240 134 3 2
97 70 54 0 2
