Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 242 387 2 1
1 222 170 2 1
2 238 411 4 4
3 244 345 2 4
4 238 432 1 3
5 231 395 3 3
6 211 20 2 0
7 232 25 3 1
8 232 81 4 2
9 236 360 1 3
10 238 78 2 0
11 215 206 4 2
12 223 445 3 10
13 180 280 3 2
14 182 285 4 4
15 223 607 0 16
16 242 381 2 3
17 118 40 2 1
18 64 11 0 0
19 119 84 1 0
20 208 7 3 0
21 239 156 1 0
22 135 69 1 0
23 3 40 3 0
24 236 296 4 3
25 212 165 4 3
26 184 222 1 6
27 184 92 2 2
28 243 71 3 0
29 244 205 4 1
30 219 126 2 1
31 238 205 7 0
32 241 164 3 2
33 146 111 1 0
34 240 197 4 3
35 237 209 0 3
36 143 99 1 2
37 240 362 2 4
38 198 176 6 1
39 2 15 2 0
40 1 11 1 1
41 241 232 2 3
42 242 300 2 4
43 232 312 3 4
44 244 173 5 1
45 219 203 3 6
46 231 160 1 0
47 245 404 2 7
48 240 281 0 3
49 2 0 2 0
50 241 347 1 1
51 225 308 3 0
52 220 268 2 5
53 235 165 0 1
54 233 202 3 2
55 240 271 6 4
56 216 83 3 2
57 2 0 2 0
58 204 88 2 0
59 237 218 0 1
60 221 391 2 6
61 182 100 1 1
62 241 147 3 1
63 237 198 2 1
64 228 53 1 0
65 190 189 1 2
66 3 11 3 0
67 187 263 1 1
68 188 86 1 0
69 8 11 8 0
70 199 156 1 4
71 201 129 5 3
72 216 312 3 1
73 243 342 2 5
74 194 146 2 1
75 229 254 1 5
76 240 217 0 1
77 214 230 3 4
78 189 141 1 1
79 240 282 1 0
80 220 136 1 1
81 3 0 3 0
82 222 133 3 3
83 188 428 0 10
84 242 324 2 5
85 238 211 1 3
86 142 146 2 1
87 175 227 1 4
88 239 238 2 3
89 226 238 2 1
90 215 173 2 6
91 4 18 4 0
92 237 231 5 3
93 119 56 2 0
94 135 161 1 3
95 111 105 0 0
96 202 106 3 1
97 68 63 0 1
