Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 1 28 1 2
1 6 23 6 3
2 9 94 9 2
3 7 17 7 1
4 9 43 9 5
5 10 56 10 3
6 5 60 5 0
7 163 11 3 0
8 167 60 4 5
9 6 12 6 3
10 378 89 6 16
11 6 58 6 0
12 298 139 12 29
13 10 36 10 2
14 11 52 11 1
15 376 392 7 22
16 258 61 5 12
17 7 79 7 6
18 4 48 4 2
19 8 51 8 3
20 428 273 6 22
21 419 175 12 14
22 9 36 9 2
23 1 1 1 1
24 12 53 12 1
25 1 8 1 2
26 414 156 9 6
27 9 38 9 0
28 11 75 11 4
29 7 48 7 3
30 0 20 0 0
31 14 58 14 0
32 6 77 6 3
33 420 1068 7 65
34 9 4 0 0
35 416 413 8 7
36 0 1 0 1
37 1 3 1 1
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 0 0 0 0
45 0 0 0 0
46 0 0 0 0
47 0 0 0 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 0 0 0 0
