Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 1 12 1 1
1 2 7 2 1
2 4 11 4 2
3 2 3 2 0
4 1 14 1 3
5 3 10 3 1
6 191 17 2 2
7 3 6 3 0
8 4 4 4 0
9 1 10 1 0
10 2 5 2 0
11 4 3 4 0
12 3 2 3 1
13 3 10 3 0
14 4 6 4 0
15 0 0 0 0
16 2 0 2 0
17 2 5 2 1
18 0 3 0 0
19 1 3 1 0
20 2 3 2 1
21 1 6 1 0
22 1 0 1 0
23 233 195 3 15
24 4 6 4 0
25 4 9 4 1
26 1 13 1 2
27 2 4 2 0
28 3 7 3 1
29 4 5 4 1
30 2 11 2 1
31 7 7 7 0
32 3 8 3 0
33 1 2 1 0
34 4 4 4 0
35 0 12 0 1
36 1 6 1 1
37 2 8 2 0
38 6 8 6 2
39 2 5 2 0
40 1 6 1 1
41 2 13 2 0
42 2 5 2 2
43 229 340 3 26
44 4 2 4 0
45 231 125 3 18
46 1 4 1 1
47 2 0 2 0
48 0 5 0 1
49 2 0 2 0
50 1 12 1 1
51 3 11 3 0
52 1 16 1 0
53 0 15 0 0
54 3 4 3 0
55 230 311 6 22
56 2 2 2 1
57 1 0 1 0
58 2 3 2 0
59 0 15 0 0
60 2 10 2 1
61 1 3 1 0
62 1 0 1 0
63 1 0 1 0
64 1 3 1 0
65 1 3 1 1
66 3 4 3 0
67 1 5 1 0
68 1 2 1 0
69 234 83 8 9
70 183 174 1 16
71 4 1 4 0
72 3 10 3 0
73 2 4 2 0
74 2 4 2 0
75 1 11 1 2
76 0 0 0 0
77 3 5 3 0
78 181 137 1 22
79 1 8 1 0
80 233 61 1 12
81 3 0 3 0
82 3 3 3 0
83 182 371 0 28
84 2 3 2 0
85 1 3 1 1
86 2 7 2 1
87 1 2 1 0
88 2 0 2 0
89 2 16 2 1
90 2 1 2 0
91 4 5 4 0
92 5 2 5 0
93 2 9 2 0
94 1 6 1 1
95 0 0 0 0
96 3 8 3 1
97 0 4 0 1
