Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 2 11 2 1
1 2 10 2 1
2 4 19 4 2
3 2 15 2 0
4 1 26 1 2
5 3 18 3 1
6 2 8 2 0
7 232 69 3 2
8 234 99 4 3
9 231 297 1 10
10 2 6 2 0
11 200 28 4 0
12 2 4 2 1
13 3 14 3 0
14 4 15 4 0
15 0 0 0 0
16 2 0 2 0
17 2 4 2 1
18 33 6 0 0
19 1 3 1 0
20 176 4 2 1
21 236 232 1 5
22 1 0 1 0
23 3 33 3 0
24 234 375 4 11
25 4 21 4 1
26 1 20 1 1
27 180 38 2 0
28 209 91 3 5
29 4 6 4 1
30 194 182 2 6
31 7 20 7 0
32 3 18 3 0
33 1 6 1 0
34 4 11 4 0
35 0 28 0 0
36 140 103 1 4
37 226 337 2 16
38 200 155 6 9
39 2 13 2 0
40 1 5 1 1
41 236 184 2 3
42 2 23 2 2
43 230 317 3 13
44 4 4 4 0
45 3 19 3 0
46 1 7 1 1
47 2 0 2 0
48 0 17 0 1
49 2 0 2 0
50 1 37 1 1
51 3 23 3 0
52 228 339 2 9
53 231 253 0 8
54 228 142 3 4
55 5 7 5 1
56 3 4 3 1
57 1 0 1 0
58 2 3 2 0
59 0 25 0 0
60 2 26 2 1
61 155 167 1 5
62 225 118 3 4
63 239 164 1 10
64 220 159 1 6
65 1 4 1 1
66 3 9 3 0
67 184 196 1 2
68 1 3 1 0
69 8 11 8 0
70 1 17 1 1
71 4 4 4 0
72 3 31 3 1
73 2 11 2 0
74 191 224 2 5
75 1 31 1 1
76 0 0 0 0
77 3 15 3 0
78 1 0 1 0
79 1 27 1 0
80 1 4 1 0
81 3 0 3 0
82 4 12 4 0
83 0 54 0 0
84 2 6 2 0
85 225 319 1 20
86 2 13 2 0
87 155 242 1 14
88 2 0 2 0
89 2 25 2 0
90 2 3 2 0
91 125 131 4 2
92 5 5 5 0
93 111 51 2 3
94 1 9 1 0
95 99 95 0 5
96 3 8 3 1
97 0 9 0 1
