Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 340 213 4 3
1 345 185 8 5
2 493 485 9 18
3 7 20 7 0
4 454 186 10 3
5 457 1400 11 45
6 7 35 7 0
7 8 16 8 0
8 325 44 4 0
9 346 182 7 5
10 462 258 8 11
11 9 46 9 0
12 485 509 12 9
13 500 1199 15 55
14 457 439 14 6
15 457 1014 7 24
16 489 214 7 8
17 8 136 8 4
18 503 361 5 9
19 499 349 8 5
20 7 12 7 0
21 500 214 13 10
22 10 26 10 0
23 207 16 3 1
24 12 25 12 0
25 210 225 4 4
26 495 162 11 4
27 497 260 10 4
28 461 301 11 12
29 500 299 8 5
30 206 5 4 0
31 15 28 15 0
32 8 61 8 0
33 501 1703 7 68
34 29 18 1 0
35 497 216 9 9
36 19 1 2 0
37 9 25 9 0
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 9 5 9 0
45 0 0 0 0
46 0 0 0 0
47 6 5 6 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 52 3 0 0
