Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 2 29 2 2
1 6 20 6 3
2 10 98 10 2
3 7 21 7 1
4 10 53 10 4
5 9 50 9 4
6 6 77 6 2
7 2 18 2 2
8 2 19 2 1
9 159 44 6 9
10 5 41 5 3
11 268 53 5 12
12 12 49 12 3
13 7 36 7 3
14 11 39 11 2
15 7 40 7 6
16 4 65 4 7
17 6 82 6 7
18 4 53 4 2
19 330 160 9 41
20 6 38 6 3
21 12 45 12 3
22 338 83 7 25
23 14 1 1 1
24 328 156 12 27
25 1 21 1 2
26 8 52 8 4
27 305 169 9 27
28 11 58 11 7
29 7 46 7 4
30 27 0 0 0
31 14 62 14 3
32 6 74 6 5
33 5 58 5 5
34 0 2 0 0
35 4 47 4 4
36 1 0 1 0
37 1 5 1 2
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 4 0 0 0
45 0 0 0 0
46 0 0 0 0
47 8 0 0 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 3 6 3 0
