Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 3 12 3 1
1 5 9 5 0
2 9 32 9 1
3 7 19 7 1
4 9 32 9 3
5 10 26 10 3
6 362 242 4 19
7 6 20 6 1
8 4 9 4 2
9 4 9 4 2
10 6 22 6 1
11 7 36 7 0
12 12 25 12 1
13 9 21 9 3
14 12 18 12 0
15 363 809 7 62
16 4 31 4 3
17 346 208 5 72
18 5 23 5 2
19 9 24 9 0
20 6 15 6 0
21 414 197 12 17
22 8 14 8 0
23 1 1 1 1
24 414 252 10 17
25 1 2 1 2
26 9 44 9 3
27 8 37 8 1
28 11 36 11 4
29 8 32 8 4
30 0 1 0 0
31 411 117 14 8
32 7 47 7 5
33 5 42 5 3
34 0 2 0 1
35 8 30 8 2
36 0 2 0 2
37 2 6 2 1
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 0 0 0 0
45 0 0 0 0
46 0 0 0 0
47 0 0 0 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 1 2 1 0
