Number of messages: 337
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 297 386 3 5
1 296 283 2 4
2 293 585 4 11
3 299 433 3 7
4 295 473 2 6
5 291 521 4 4
6 285 42 2 0
7 295 86 3 1
8 296 63 4 1
9 1 14 1 0
10 294 55 2 0
11 4 5 4 0
12 294 790 4 7
13 214 235 4 4
14 6 8 6 0
15 294 1291 0 15
16 298 471 2 6
17 239 104 2 2
18 240 33 2 0
19 240 236 1 2
20 296 33 3 0
21 293 149 1 3
22 1 0 1 0
23 293 167 4 1
24 4 4 4 0
25 296 113 5 1
26 226 550 2 5
27 226 129 2 5
28 298 82 3 1
29 299 170 5 2
30 295 161 2 0
31 294 91 7 2
32 3 10 3 0
33 172 90 1 0
34 296 114 7 1
35 293 335 1 1
36 168 95 1 0
37 297 383 4 8
38 241 215 8 3
39 297 292 2 2
40 298 263 1 5
41 296 264 3 1
42 297 470 2 5
43 292 399 3 0
44 299 175 6 0
45 293 485 3 9
46 296 181 2 1
47 300 342 3 8
48 297 515 1 5
49 300 139 3 0
50 294 328 1 1
51 289 407 4 6
52 290 372 4 7
53 292 225 0 0
54 290 282 3 5
55 296 311 9 1
56 285 72 3 2
57 297 397 2 4
58 259 89 2 0
59 293 176 1 3
60 281 1082 2 14
61 1 8 1 0
62 297 222 3 1
63 299 236 2 4
64 293 46 2 0
65 234 213 1 1
66 296 106 3 1
67 1 7 1 0
68 228 37 1 0
69 295 164 9 2
70 229 188 1 5
71 283 200 5 2
72 274 351 3 2
73 297 296 3 3
74 239 101 3 1
75 291 339 2 2
76 296 192 1 2
77 297 222 4 2
78 230 143 1 2
79 294 283 1 2
80 294 241 2 3
81 298 150 4 1
82 289 184 4 3
83 228 1014 0 14
84 296 813 3 9
85 297 183 1 2
86 169 158 2 2
87 209 167 2 2
88 299 302 3 3
89 289 307 2 4
90 295 203 3 2
91 154 102 4 1
92 298 263 6 1
93 147 66 3 0
94 160 264 2 1
95 0 0 0 0
96 299 166 3 3
97 79 59 0 0
