Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 47 4 0
1 7 31 7 1
2 9 116 9 1
3 318 331 7 14
4 10 69 10 3
5 10 96 10 4
6 400 283 7 19
7 216 28 6 2
8 4 32 4 0
9 293 69 6 8
10 6 48 6 3
11 6 98 6 2
12 12 85 12 3
13 10 73 10 2
14 374 455 12 18
15 380 786 7 37
16 411 205 4 5
17 7 161 7 6
18 459 388 4 11
19 8 78 8 2
20 463 533 6 30
21 456 419 13 14
22 404 313 7 13
23 75 17 1 2
24 456 256 11 6
25 75 85 1 2
26 10 85 10 0
27 10 80 10 3
28 11 93 11 4
29 440 244 7 10
30 28 3 0 0
31 453 259 15 10
32 448 485 7 18
33 5 92 5 4
34 0 3 0 0
35 453 336 8 8
36 7 0 0 0
37 0 12 0 0
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 0 0 0 0
45 0 0 0 0
46 0 0 0 0
47 8 0 0 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 49 1 7 0
