Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 2 17 2 1
1 221 83 2 2
2 234 429 4 7
3 2 30 2 0
4 234 325 1 3
5 216 327 2 5
6 2 9 2 0
7 3 14 3 0
8 224 122 4 1
9 233 296 1 2
10 2 11 2 0
11 208 136 4 1
12 3 7 3 1
13 170 258 2 1
14 4 23 4 0
15 211 432 0 19
16 2 0 2 0
17 12 1 2 1
18 18 4 0 0
19 1 9 1 0
20 163 10 3 1
21 235 153 1 0
22 1 0 1 0
23 3 46 3 0
24 4 32 4 0
25 4 31 4 1
26 180 224 1 10
27 178 89 2 1
28 198 90 3 3
29 238 201 4 4
30 203 157 2 3
31 235 161 7 1
32 235 69 3 2
33 141 106 1 0
34 235 201 4 3
35 232 219 0 3
36 138 95 1 0
37 235 352 2 10
38 6 17 6 1
39 235 225 2 9
40 1 8 1 1
41 2 28 2 0
42 2 19 2 1
43 231 280 3 6
44 237 161 5 2
45 232 166 3 5
46 228 195 1 3
47 2 0 2 0
48 235 297 0 6
49 224 141 2 1
50 1 58 1 0
51 220 363 3 3
52 2 41 2 0
53 229 238 0 4
54 3 12 3 0
55 6 9 6 0
56 214 98 3 5
57 2 0 2 0
58 197 89 2 0
59 222 285 0 4
60 2 34 2 1
61 167 95 1 4
62 237 185 3 2
63 1 1 1 0
64 223 111 1 1
65 186 173 1 4
66 238 108 3 1
67 183 265 1 3
68 184 81 1 0
69 235 183 8 2
70 192 197 1 9
71 175 147 5 5
72 3 44 3 0
73 2 15 2 0
74 2 31 2 0
75 1 35 1 1
76 0 0 0 0
77 3 30 3 1
78 175 201 1 4
79 234 321 1 9
80 1 4 1 0
81 3 0 3 0
82 3 17 3 0
83 183 425 0 11
84 2 4 2 0
85 1 4 1 0
86 138 143 2 2
87 160 228 1 4
88 227 315 2 6
89 226 268 2 2
90 213 161 2 3
91 122 83 4 0
92 5 5 5 0
93 94 48 2 0
94 1 7 1 0
95 94 99 0 0
96 136 62 3 2
97 0 14 0 1
