Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 3 41 3 1
1 5 31 5 1
2 414 244 10 21
3 257 186 7 11
4 10 78 10 3
5 10 95 10 2
6 377 315 6 13
7 154 16 6 1
8 246 85 4 2
9 199 33 5 3
10 6 41 6 1
11 330 56 5 6
12 243 234 12 11
13 9 53 9 2
14 11 81 11 0
15 377 482 7 26
16 286 110 4 12
17 7 131 7 5
18 4 71 4 1
19 9 83 9 1
20 6 41 6 0
21 12 67 12 2
22 7 68 7 0
23 1 1 1 1
24 428 366 12 11
25 1 15 1 2
26 423 196 9 3
27 8 65 8 0
28 11 67 11 4
29 261 101 7 7
30 37 2 2 0
31 15 79 15 0
32 388 363 6 25
33 429 1228 6 65
34 1 6 1 0
35 425 264 8 10
36 1 0 1 0
37 1 8 1 1
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 0 0 0 0
45 0 0 0 0
46 0 0 0 0
47 0 0 0 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 0 9 0 0
