Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 219 65 4 6
1 5 26 5 3
2 336 296 10 27
3 7 30 7 1
4 308 220 9 21
5 10 68 10 4
6 5 68 5 1
7 6 27 6 2
8 153 31 4 6
9 6 19 6 3
10 6 29 6 3
11 5 71 5 2
12 12 50 12 3
13 9 30 9 2
14 11 41 11 0
15 300 363 7 36
16 4 69 4 6
17 5 90 5 5
18 4 47 4 2
19 332 156 8 30
20 6 40 6 1
21 11 61 11 3
22 7 56 7 3
23 14 1 1 1
24 12 68 12 2
25 2 31 2 2
26 360 152 8 15
27 9 54 9 3
28 270 92 10 26
29 8 51 8 4
30 24 1 2 0
31 364 223 13 10
32 5 100 5 4
33 4 72 4 5
34 0 1 0 0
35 8 71 8 4
36 2 1 0 0
37 5 6 5 1
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 0 0 0 0
45 0 0 0 0
46 0 0 0 0
47 0 0 0 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 27 4 0 1
