Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 18 4 1
1 6 7 6 0
2 11 63 11 3
3 7 8 7 0
4 10 48 10 2
5 11 50 11 4
6 6 39 6 4
7 4 33 4 2
8 4 18 4 0
9 287 75 6 6
10 6 17 6 3
11 442 79 7 29
12 469 330 12 49
13 484 654 13 58
14 14 27 14 2
15 8 31 8 8
16 5 30 5 1
17 7 83 7 6
18 498 525 5 18
19 9 30 9 3
20 8 18 8 3
21 13 25 13 3
22 11 25 11 1
23 1 1 1 1
24 12 40 12 3
25 2 8 2 1
26 10 40 10 8
27 10 29 10 5
28 11 90 11 7
29 7 25 7 3
30 2 20 2 0
31 14 35 14 5
32 487 365 7 71
33 6 54 6 4
34 0 4 0 0
35 9 55 9 5
36 11 14 11 1
37 74 4 2 2
38 0 0 0 0
39 12 0 7 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 10 5 10 0
45 0 0 0 0
46 0 0 0 0
47 0 0 0 0
48 2 0 0 0
49 7 0 0 0
50 14 0 7 0
51 7 10 7 0
