Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 20 4 0
1 6 9 6 0
2 10 47 10 0
3 324 318 7 12
4 433 208 10 11
5 436 918 11 37
6 7 38 7 0
7 4 17 4 0
8 288 61 4 3
9 324 95 7 6
10 8 12 8 1
11 8 22 8 0
12 12 37 12 0
13 11 38 11 1
14 13 28 13 0
15 421 362 7 40
16 6 44 6 2
17 456 839 7 55
18 4 32 4 2
19 465 294 9 16
20 6 12 6 0
21 13 30 13 2
22 466 316 10 14
23 3 13 3 1
24 12 27 12 1
25 177 23 3 4
26 454 80 10 4
27 9 29 9 0
28 11 44 11 2
29 7 30 7 2
30 97 2 4 2
31 14 23 14 0
32 6 77 6 2
33 461 830 5 67
34 8 7 0 0
35 8 25 8 2
36 0 2 0 2
37 3 5 3 1
38 0 0 0 0
39 12 0 0 0
40 0 6 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 0 0 0 0
45 0 0 0 0
46 0 0 0 0
47 6 5 6 0
48 0 0 0 0
49 0 0 0 0
50 14 0 0 0
51 7 9 7 0
