Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 361 207 4 7
1 359 302 8 13
2 508 821 10 9
3 367 441 7 12
4 476 132 10 5
5 479 1208 12 36
6 475 139 7 7
7 483 76 8 3
8 4 7 4 0
9 360 151 7 5
10 8 17 8 1
11 12 50 12 0
12 12 53 12 0
13 15 47 15 1
14 479 275 14 3
15 480 1633 8 37
16 7 46 7 2
17 506 1689 8 58
18 5 29 5 1
19 9 28 9 0
20 521 302 6 3
21 514 279 13 8
22 516 603 10 17
23 255 25 6 4
24 514 283 13 4
25 256 260 5 3
26 11 31 11 1
27 9 23 9 0
28 481 324 11 20
29 514 256 8 10
30 346 30 5 0
31 511 228 15 6
32 7 58 7 1
33 515 1858 8 66
34 51 15 2 0
35 511 243 9 6
36 138 2 3 1
37 472 37 11 0
38 7 0 3 0
39 14 0 1 0
40 1 6 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 4 0 0 0
45 0 0 0 0
46 0 0 0 0
47 245 5 6 0
48 0 0 0 0
49 7 0 7 0
50 0 0 0 0
51 403 9 7 1
