Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 245 335 2 3
1 242 194 2 2
2 4 26 4 2
3 247 316 3 2
4 243 330 1 2
5 238 344 3 3
6 236 34 2 1
7 243 53 3 0
8 244 114 4 2
9 241 334 1 4
10 243 45 2 0
11 240 307 4 5
12 242 657 4 5
13 180 194 3 1
14 183 343 4 5
15 249 1196 0 13
16 245 353 2 6
17 211 133 2 1
18 0 4 0 0
19 212 151 2 0
20 3 2 3 0
21 243 179 1 2
22 137 97 1 0
23 241 146 3 3
24 242 536 4 4
25 245 125 4 2
26 1 19 1 0
27 186 92 2 1
28 246 57 3 0
29 247 129 4 1
30 244 121 2 0
31 242 99 7 1
32 245 87 3 0
33 148 122 1 2
34 246 111 4 2
35 242 161 0 3
36 145 108 1 3
37 247 323 2 2
38 229 167 7 1
39 247 270 2 2
40 246 211 1 2
41 245 215 2 3
42 2 9 2 0
43 239 322 3 3
44 5 2 5 0
45 240 410 3 4
46 243 101 1 4
47 249 371 2 6
48 247 470 1 6
49 249 92 2 0
50 245 329 1 4
51 239 462 3 3
52 240 302 2 5
53 239 160 0 2
54 240 184 3 1
55 245 215 6 3
56 237 77 3 1
57 2 0 2 0
58 225 83 2 1
59 243 139 0 1
60 238 1095 2 8
61 183 110 1 3
62 245 179 3 2
63 248 144 2 2
64 242 78 1 1
65 206 125 1 1
66 247 77 3 2
67 190 242 1 1
68 191 66 1 0
69 243 90 8 3
70 204 167 1 3
71 239 177 5 1
72 231 281 3 2
73 247 149 2 6
74 203 112 2 0
75 239 247 1 3
76 245 107 0 3
77 247 151 3 0
78 229 134 1 2
79 244 231 1 2
80 1 1 1 0
81 247 151 3 3
82 240 248 4 4
83 0 45 0 0
84 246 735 2 10
85 247 171 1 2
86 144 138 2 1
87 179 235 1 5
88 249 259 2 2
89 238 307 2 3
90 243 197 2 3
91 131 61 4 0
92 246 251 5 4
93 122 52 2 0
94 139 309 1 4
95 117 104 0 1
96 247 157 3 1
97 69 49 0 1
