Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 19 4 0
1 329 373 7 5
2 462 799 9 13
3 332 330 7 5
4 429 325 10 10
5 432 1315 11 44
6 433 494 7 20
7 425 27 7 2
8 328 34 4 1
9 330 126 6 3
10 438 276 7 10
11 429 143 6 11
12 455 427 12 13
13 471 1135 10 46
14 13 25 13 0
15 426 827 7 49
16 6 32 6 0
17 7 120 7 4
18 5 25 5 1
19 469 455 9 10
20 7 32 7 1
21 13 43 13 2
22 471 343 9 12
23 162 13 3 1
24 469 264 12 5
25 163 181 2 4
26 10 56 10 3
27 10 66 10 0
28 11 62 11 1
29 469 109 8 4
30 199 6 3 0
31 466 289 14 12
32 461 456 7 10
33 6 90 6 3
34 15 17 0 0
35 9 59 9 2
36 7 0 7 0
37 56 4 3 2
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 9 5 9 0
45 0 0 0 0
46 0 0 0 0
47 67 0 6 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 105 6 7 1
