Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 201 247 1 16
1 2 14 2 1
2 4 13 4 2
3 221 214 2 12
4 1 19 1 2
5 216 99 3 10
6 191 66 2 0
7 3 6 3 0
8 4 2 4 0
9 1 10 1 0
10 144 3 1 0
11 193 36 4 0
12 3 3 3 1
13 2 14 2 0
14 3 13 3 0
15 0 0 0 0
16 2 0 2 0
17 2 6 2 1
18 0 7 0 0
19 12 0 1 0
20 2 1 2 0
21 1 8 1 0
22 1 0 1 0
23 233 278 3 13
24 4 7 4 0
25 203 167 4 11
26 1 15 1 1
27 2 6 2 1
28 3 7 3 0
29 4 9 4 1
30 2 17 2 0
31 7 16 7 0
32 3 10 3 1
33 135 112 1 9
34 206 40 4 8
35 0 19 0 0
36 1 13 1 0
37 2 6 2 0
38 5 9 5 2
39 207 397 2 14
40 1 6 1 1
41 2 12 2 0
42 2 18 2 2
43 232 287 3 19
44 5 1 5 0
45 3 15 3 0
46 1 7 1 1
47 2 0 2 0
48 0 12 0 1
49 2 0 2 0
50 1 17 1 0
51 3 15 3 0
52 2 32 2 0
53 0 22 0 0
54 3 7 3 0
55 5 6 5 1
56 2 4 2 1
57 2 0 2 0
58 2 7 2 0
59 0 14 0 0
60 2 21 2 1
61 1 5 1 0
62 3 0 3 0
63 0 0 0 0
64 1 8 1 0
65 177 106 1 15
66 3 4 3 0
67 176 244 1 5
68 179 24 1 1
69 8 7 8 0
70 187 258 1 9
71 3 2 3 0
72 2 27 2 1
73 237 266 2 17
74 2 8 2 1
75 1 18 1 1
76 0 0 0 0
77 3 10 3 1
78 1 0 1 0
79 1 20 1 0
80 1 1 1 0
81 3 0 3 0
82 3 9 3 0
83 0 43 0 1
84 1 5 1 0
85 1 7 1 1
86 132 107 2 7
87 1 6 1 0
88 2 0 2 0
89 2 19 2 1
90 2 2 2 0
91 3 10 3 0
92 5 4 5 0
93 2 8 2 0
94 1 10 1 1
95 97 80 0 6
96 3 7 3 1
97 0 6 0 1
