Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 242 409 2 3
1 241 195 2 3
2 240 423 4 4
3 244 364 3 3
4 240 359 1 1
5 237 377 3 2
6 234 49 2 1
7 3 2 3 0
8 243 117 4 2
9 240 312 1 2
10 242 34 2 0
11 4 12 4 0
12 241 635 4 6
13 181 233 3 2
14 184 229 4 5
15 248 1168 0 15
16 244 406 2 5
17 203 21 2 2
18 0 3 0 0
19 2 7 2 0
20 242 26 3 0
21 242 173 1 2
22 137 89 1 0
23 240 131 3 3
24 239 254 4 3
25 242 134 4 0
26 186 478 1 8
27 185 100 2 2
28 243 40 3 0
29 244 110 4 2
30 241 140 2 0
31 241 79 7 0
32 244 91 3 0
33 148 78 1 1
34 4 6 4 0
35 239 125 0 3
36 145 89 1 1
37 242 284 2 2
38 202 178 6 1
39 2 4 2 0
40 245 221 1 2
41 2 14 2 0
42 245 369 2 4
43 238 344 3 2
44 5 2 5 0
45 239 322 3 5
46 242 95 1 4
47 248 176 2 3
48 242 368 0 7
49 246 87 2 1
50 244 283 1 5
51 237 340 3 4
52 239 283 2 7
53 238 159 0 1
54 239 208 3 2
55 244 148 6 2
56 235 66 3 2
57 1 0 1 0
58 225 54 2 0
59 242 133 0 1
60 233 917 2 5
61 184 90 1 3
62 244 128 3 1
63 246 163 2 3
64 241 53 1 1
65 206 79 1 1
66 244 149 3 3
67 189 246 1 1
68 190 63 1 0
69 242 91 8 3
70 189 138 1 3
71 237 129 5 4
72 228 293 3 2
73 244 164 2 7
74 202 98 2 1
75 1 6 1 1
76 244 118 0 3
77 3 3 3 0
78 1 0 1 0
79 1 10 1 0
80 245 172 1 1
81 246 155 3 1
82 239 204 4 4
83 189 824 0 14
84 245 660 2 8
85 1 2 1 0
86 2 3 2 0
87 179 189 1 2
88 2 0 2 0
89 236 283 2 6
90 240 135 2 1
91 131 92 4 0
92 5 2 5 0
93 2 5 2 0
94 139 220 1 3
95 0 0 0 0
96 244 129 3 1
97 69 51 0 2
