Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 29 4 0
1 335 287 7 10
2 479 584 9 19
3 7 14 7 0
4 10 41 10 2
5 12 61 12 2
6 7 37 7 0
7 7 23 7 1
8 4 26 4 2
9 335 83 6 6
10 449 132 7 13
11 6 38 6 0
12 12 58 12 3
13 485 904 13 61
14 13 32 13 0
15 446 919 8 27
16 474 135 7 7
17 7 87 7 5
18 5 28 5 1
19 485 483 8 27
20 492 278 7 12
21 485 234 13 10
22 10 21 10 0
23 140 16 3 2
24 485 203 12 7
25 142 158 3 5
26 10 28 10 0
27 483 263 10 7
28 11 51 11 1
29 8 36 8 3
30 0 15 0 0
31 14 28 14 0
32 7 60 7 1
33 486 1101 7 58
34 31 18 1 0
35 9 46 9 2
36 17 0 0 0
37 55 2 2 2
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 98 5 10 0
45 0 0 0 0
46 0 0 0 0
47 0 0 0 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 0 1 0 0
