Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 282 191 4 2
1 263 233 6 10
2 404 380 9 23
3 299 407 7 10
4 343 319 8 6
5 12 113 12 4
6 375 440 5 21
7 6 39 6 1
8 228 78 4 2
9 218 84 5 3
10 7 54 7 2
11 8 97 8 2
12 291 99 12 12
13 411 461 12 31
14 12 98 12 0
15 374 524 8 27
16 344 133 4 5
17 7 191 7 5
18 5 99 5 1
19 8 120 8 1
20 430 359 7 19
21 419 299 12 17
22 375 146 8 10
23 48 18 1 2
24 11 77 11 2
25 49 59 2 2
26 8 82 8 3
27 417 248 9 8
28 297 81 11 15
29 8 75 8 2
30 0 34 0 0
31 14 90 14 1
32 373 460 6 22
33 7 125 7 4
34 14 16 0 0
35 9 98 9 2
36 0 3 0 1
37 11 3 3 1
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 10 0 7 0
45 0 0 0 0
46 0 0 0 0
47 8 0 0 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 30 2 7 0
