Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 2 9 2 1
1 2 6 2 0
2 4 27 4 2
3 3 11 3 0
4 1 23 1 1
5 3 14 3 1
6 223 27 2 2
7 3 7 3 0
8 4 1 4 0
9 1 10 1 0
10 2 9 2 0
11 4 6 4 0
12 3 3 3 1
13 3 5 3 0
14 4 8 4 0
15 245 686 0 23
16 2 0 2 0
17 2 4 2 1
18 0 4 0 0
19 1 3 1 0
20 3 6 3 1
21 1 8 1 0
22 1 0 1 0
23 3 10 3 0
24 4 12 4 0
25 4 9 4 1
26 1 19 1 0
27 2 3 2 0
28 3 4 3 1
29 234 175 4 9
30 2 19 2 0
31 7 8 7 0
32 241 130 3 3
33 1 1 1 0
34 239 179 4 5
35 0 16 0 1
36 1 6 1 0
37 2 8 2 0
38 6 6 6 1
39 240 375 2 4
40 1 4 1 1
41 2 13 2 0
42 2 14 2 1
43 235 302 3 11
44 4 1 4 0
45 3 17 3 0
46 239 135 1 1
47 245 285 2 12
48 240 566 0 18
49 243 115 2 4
50 241 362 1 8
51 3 18 3 0
52 235 397 2 10
53 0 11 0 0
54 3 7 3 0
55 5 5 5 1
56 3 2 3 1
57 2 0 2 0
58 211 111 2 6
59 237 310 0 5
60 2 12 2 0
61 177 103 1 2
62 242 116 3 1
63 1 1 1 0
64 239 159 1 5
65 1 2 1 0
66 224 146 3 2
67 1 3 1 0
68 1 1 1 0
69 8 2 8 0
70 1 12 1 1
71 224 127 5 11
72 3 14 3 0
73 2 3 2 0
74 195 143 2 4
75 1 12 1 1
76 241 216 0 6
77 3 2 3 0
78 216 215 1 10
79 1 10 1 0
80 231 203 1 6
81 3 0 3 0
82 220 133 3 3
83 0 40 0 0
84 2 3 2 0
85 241 194 1 10
86 2 5 2 0
87 1 2 1 0
88 2 0 2 0
89 235 239 2 6
90 235 139 2 4
91 4 14 4 0
92 5 2 5 0
93 118 94 2 2
94 1 2 1 1
95 0 0 0 0
96 234 73 3 4
97 0 4 0 0
