Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 226 231 2 7
1 180 54 2 3
2 4 39 4 2
3 3 14 3 0
4 1 39 1 1
5 2 39 2 1
6 194 48 2 0
7 2 19 2 1
8 225 101 4 1
9 222 391 1 10
10 220 56 2 0
11 4 10 4 0
12 2 6 2 1
13 167 130 3 1
14 4 28 4 0
15 0 0 0 0
16 2 0 2 0
17 1 6 1 1
18 0 6 0 0
19 10 2 1 0
20 104 13 2 1
21 218 133 1 5
22 1 0 1 0
23 224 252 3 5
24 4 34 4 0
25 198 150 4 2
26 1 23 1 0
27 2 13 2 0
28 2 28 2 1
29 233 201 4 7
30 201 195 2 4
31 7 37 7 0
32 205 67 3 0
33 141 86 1 1
34 223 246 4 3
35 221 185 0 6
36 1 27 1 0
37 2 15 2 1
38 6 20 6 1
39 2 26 2 0
40 1 15 1 1
41 231 126 2 1
42 225 297 2 12
43 3 53 3 1
44 4 3 4 0
45 220 144 3 5
46 217 191 1 6
47 2 0 2 0
48 224 332 0 15
49 2 0 2 0
50 1 56 1 0
51 3 38 3 0
52 205 326 2 10
53 0 48 0 0
54 219 179 3 1
55 217 290 6 9
56 3 5 3 1
57 221 328 2 7
58 2 4 2 0
59 0 38 0 1
60 2 31 2 1
61 151 108 1 3
62 226 128 3 2
63 217 249 0 7
64 218 61 1 0
65 1 7 1 0
66 225 124 3 2
67 1 14 1 0
68 1 10 1 0
69 217 139 8 1
70 1 25 1 1
71 4 5 4 0
72 3 53 3 0
73 226 272 2 7
74 2 30 2 0
75 1 24 1 1
76 0 0 0 0
77 215 249 3 7
78 1 0 1 0
79 1 41 1 0
80 213 155 1 10
81 3 0 3 0
82 181 135 3 3
83 184 424 0 19
84 2 5 2 0
85 1 10 1 1
86 2 22 2 0
87 1 9 1 0
88 2 0 2 0
89 213 220 2 5
90 2 7 2 0
91 120 45 4 1
92 5 9 5 0
93 2 20 2 0
94 1 12 1 0
95 0 0 0 0
96 3 13 3 1
97 0 14 0 1
