Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 244 401 2 3
1 241 156 2 1
2 240 384 4 5
3 246 271 2 3
4 242 352 1 2
5 237 304 3 2
6 235 66 2 1
7 242 41 3 0
8 243 93 4 2
9 240 344 1 4
10 241 54 2 0
11 232 291 4 5
12 241 706 4 4
13 3 8 3 0
14 184 239 4 6
15 248 1104 0 11
16 244 347 2 6
17 2 6 2 1
18 209 9 0 0
19 210 81 2 0
20 242 22 3 1
21 242 182 1 2
22 137 86 1 0
23 240 189 3 4
24 241 351 4 3
25 244 97 4 0
26 186 520 1 6
27 186 111 2 3
28 245 66 3 0
29 246 125 4 2
30 243 109 2 0
31 241 74 7 0
32 244 115 3 0
33 148 69 1 1
34 245 109 4 2
35 241 123 0 2
36 145 108 1 3
37 246 303 2 4
38 231 183 7 0
39 246 244 2 2
40 1 4 1 1
41 244 197 2 2
42 245 352 2 5
43 3 20 3 0
44 247 142 5 0
45 237 386 3 3
46 1 3 1 0
47 2 0 2 0
48 246 377 1 6
49 248 77 2 0
50 244 298 1 5
51 238 443 3 3
52 239 240 2 5
53 238 154 0 1
54 239 178 3 1
55 244 217 6 2
56 3 2 3 1
57 243 333 2 3
58 227 43 2 0
59 241 133 0 1
60 237 993 2 5
61 184 130 1 3
62 244 155 3 1
63 247 188 2 1
64 1 3 1 0
65 201 139 1 1
66 246 138 3 2
67 190 238 1 3
68 191 70 1 0
69 8 5 8 0
70 203 172 1 4
71 237 173 5 1
72 231 317 3 1
73 246 175 2 4
74 202 100 2 1
75 238 217 1 3
76 244 128 0 3
77 246 160 3 0
78 231 114 1 3
79 243 194 1 3
80 245 142 1 1
81 246 141 3 0
82 239 233 4 5
83 228 905 0 14
84 245 698 2 8
85 246 146 1 1
86 144 145 2 2
87 180 169 1 3
88 248 243 2 5
89 237 271 2 4
90 242 158 2 1
91 131 68 4 0
92 244 236 5 4
93 123 43 2 1
94 139 241 1 2
95 118 53 0 1
96 246 153 3 1
97 71 39 0 1
