Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 2 12 2 1
1 241 212 2 1
2 241 435 4 2
3 3 6 3 0
4 242 148 1 2
5 237 367 3 2
6 235 56 2 1
7 242 57 3 0
8 243 102 4 2
9 240 318 1 5
10 242 54 2 0
11 238 383 4 5
12 241 591 4 7
13 181 275 3 1
14 184 278 4 4
15 249 1109 0 15
16 2 0 2 0
17 2 4 2 1
18 0 4 0 0
19 2 4 2 0
20 242 34 3 1
21 1 3 1 0
22 136 105 1 0
23 240 153 3 4
24 241 290 4 5
25 241 99 4 0
26 186 478 1 6
27 185 98 2 2
28 245 59 3 0
29 4 10 4 1
30 2 13 2 0
31 241 89 7 2
32 245 114 3 1
33 147 62 1 2
34 246 182 4 4
35 242 113 0 4
36 1 10 1 0
37 2 10 2 0
38 229 156 7 2
39 247 218 2 2
40 246 179 1 1
41 2 7 2 0
42 246 414 2 7
43 238 340 3 1
44 246 216 5 1
45 239 456 3 6
46 241 120 1 2
47 249 315 2 3
48 247 456 1 7
49 246 82 2 0
50 245 220 1 4
51 3 34 3 0
52 239 237 2 5
53 238 168 0 1
54 239 223 3 2
55 244 157 6 1
56 236 88 3 2
57 243 289 2 6
58 225 92 2 0
59 243 123 0 1
60 237 911 2 5
61 184 115 1 2
62 244 142 3 1
63 247 204 2 3
64 241 59 1 1
65 202 129 1 0
66 246 144 3 2
67 190 265 1 1
68 191 63 1 0
69 242 76 8 3
70 198 169 1 3
71 5 3 5 0
72 3 11 3 0
73 246 211 2 6
74 196 93 2 2
75 238 231 1 4
76 244 140 0 3
77 3 4 3 0
78 230 124 1 4
79 243 235 1 3
80 246 132 1 0
81 247 152 3 1
82 238 222 4 1
83 224 846 0 16
84 246 524 2 9
85 245 129 1 3
86 144 95 2 1
87 178 197 1 4
88 249 278 2 2
89 237 279 2 4
90 242 155 2 1
91 130 65 4 0
92 5 3 5 0
93 2 5 2 0
94 138 243 1 3
95 118 100 0 1
96 3 11 3 0
97 71 46 0 0
