Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 230 201 2 8
1 2 11 2 0
2 4 45 4 2
3 232 273 2 11
4 1 33 1 1
5 3 23 3 1
6 2 7 2 0
7 3 14 3 1
8 231 79 4 1
9 236 360 1 4
10 153 14 2 0
11 4 6 4 0
12 3 4 3 1
13 163 107 3 5
14 3 25 3 0
15 0 0 0 0
16 240 269 2 7
17 2 4 2 1
18 0 4 0 0
19 1 3 1 0
20 3 4 3 1
21 1 27 1 0
22 119 98 1 5
23 232 203 3 9
24 4 26 4 0
25 196 250 4 5
26 1 24 1 1
27 2 13 2 1
28 3 14 3 0
29 4 14 4 0
30 201 136 2 5
31 238 182 7 4
32 3 20 3 0
33 1 10 1 0
34 226 143 4 2
35 224 157 0 4
36 1 32 1 0
37 227 217 2 12
38 5 15 5 1
39 227 236 2 10
40 1 8 1 1
41 231 119 2 4
42 2 25 2 2
43 232 244 3 16
44 5 3 5 0
45 233 122 3 6
46 216 187 1 5
47 2 0 2 0
48 0 18 0 0
49 2 0 2 0
50 1 37 1 0
51 3 39 3 0
52 2 37 2 1
53 0 46 0 0
54 3 12 3 0
55 239 264 6 9
56 3 3 3 1
57 2 0 2 0
58 2 6 2 0
59 229 242 0 9
60 2 30 2 1
61 1 8 1 0
62 3 0 3 0
63 214 172 1 7
64 1 5 1 0
65 1 6 1 1
66 3 8 3 0
67 176 86 1 2
68 1 7 1 0
69 8 11 8 0
70 1 17 1 1
71 5 3 5 0
72 3 33 3 1
73 1 16 1 0
74 2 21 2 0
75 1 24 1 1
76 0 0 0 0
77 200 234 3 7
78 1 0 1 0
79 231 226 1 9
80 1 4 1 0
81 3 0 3 0
82 3 14 3 0
83 0 66 0 0
84 2 5 2 0
85 1 9 1 1
86 2 15 2 1
87 1 9 1 0
88 2 0 2 0
89 2 32 2 0
90 2 7 2 0
91 4 24 4 0
92 229 214 5 7
93 2 22 2 0
94 126 152 1 10
95 0 0 0 0
96 189 58 3 5
97 61 71 0 3
