Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 189 46 1 7
1 6 18 6 0
2 9 61 9 1
3 7 26 7 1
4 8 46 8 3
5 11 47 11 2
6 5 48 5 1
7 4 9 4 1
8 177 13 4 9
9 4 15 4 2
10 7 38 7 3
11 5 56 5 1
12 12 37 12 2
13 9 25 9 3
14 12 41 12 0
15 7 39 7 3
16 4 48 4 3
17 306 319 7 54
18 4 40 4 2
19 9 47 9 2
20 392 186 5 30
21 12 35 12 1
22 8 24 8 0
23 1 13 1 1
24 10 40 10 3
25 53 6 4 3
26 8 34 8 1
27 8 32 8 1
28 289 90 10 22
29 7 38 7 3
30 0 1 0 0
31 13 42 13 0
32 5 56 5 4
33 383 341 5 71
34 0 2 0 0
35 7 48 7 2
36 3 0 1 0
37 11 4 4 1
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 0 0 0 0
45 0 0 0 0
46 0 0 0 0
47 8 0 0 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 0 2 0 0
