Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 51 4 1
1 299 351 7 25
2 9 47 9 1
3 7 21 7 1
4 9 72 9 4
5 10 59 10 4
6 6 29 6 1
7 3 17 3 1
8 249 42 4 10
9 6 17 6 2
10 6 24 6 1
11 7 25 7 1
12 12 72 12 3
13 10 53 10 2
14 13 53 13 1
15 357 230 7 51
16 409 176 4 13
17 7 117 7 6
18 444 369 4 8
19 420 442 8 46
20 443 363 6 40
21 13 35 13 2
22 7 50 7 0
23 1 1 1 1
24 12 32 12 0
25 2 15 2 2
26 10 31 10 1
27 9 34 9 3
28 11 57 11 4
29 426 157 7 8
30 0 1 0 0
31 14 26 14 1
32 6 99 6 1
33 5 44 5 4
34 0 3 0 0
35 8 35 8 2
36 0 2 0 2
37 1 2 1 2
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 0 0 0 0
45 0 0 0 0
46 0 0 0 0
47 0 0 0 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 0 1 0 0
