Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 327 174 4 2
1 330 252 7 0
2 477 731 9 10
3 333 318 7 9
4 439 158 10 3
5 442 1454 11 39
6 442 396 7 12
7 439 30 7 2
8 333 27 4 0
9 331 142 6 2
10 448 119 7 6
11 444 166 7 9
12 482 427 12 5
13 486 1245 13 32
14 442 340 14 3
15 443 1226 7 23
16 475 118 6 1
17 477 1920 7 45
18 487 273 5 5
19 485 385 8 8
20 491 297 7 7
21 484 246 13 8
22 487 350 9 6
23 207 17 3 1
24 484 185 12 2
25 210 225 4 4
26 479 218 11 1
27 482 210 11 1
28 450 239 11 11
29 484 219 8 3
30 203 10 3 0
31 481 231 15 5
32 477 287 8 5
33 485 2452 7 55
34 37 16 1 0
35 481 245 9 5
36 20 0 10 0
37 70 17 9 1
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 98 5 9 0
45 0 0 0 0
46 0 0 0 0
47 67 0 6 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 134 3 7 0
