Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 2 12 2 1
1 242 162 2 0
2 239 289 4 5
3 247 271 3 8
4 241 262 1 3
5 236 420 3 6
6 2 3 2 0
7 3 3 3 0
8 242 47 4 2
9 1 10 1 0
10 2 4 2 0
11 4 3 4 0
12 3 5 3 1
13 3 4 3 0
14 181 194 4 4
15 0 0 0 0
16 244 341 2 11
17 2 7 2 1
18 0 6 0 0
19 153 14 1 1
20 3 3 3 1
21 1 3 1 0
22 1 0 1 0
23 3 7 3 0
24 241 283 4 2
25 241 122 4 4
26 1 15 1 0
27 185 66 2 1
28 3 3 3 0
29 4 6 4 1
30 2 9 2 0
31 7 6 7 0
32 3 7 3 0
33 145 107 1 4
34 4 6 4 0
35 240 252 0 6
36 142 104 1 2
37 243 266 2 4
38 200 194 6 1
39 243 302 2 4
40 246 150 1 2
41 245 189 2 4
42 246 316 2 7
43 238 269 3 4
44 5 1 5 0
45 239 301 3 7
46 241 121 1 4
47 2 0 2 0
48 243 380 0 12
49 249 84 2 1
50 1 6 1 0
51 237 375 3 6
52 238 211 2 6
53 237 133 0 1
54 3 3 3 0
55 6 4 6 0
56 3 2 3 1
57 243 330 2 6
58 2 3 2 0
59 0 10 0 0
60 235 888 2 19
61 1 6 1 0
62 245 115 3 1
63 2 1 2 0
64 1 3 1 0
65 1 4 1 0
66 245 181 3 1
67 1 4 1 0
68 189 37 1 0
69 8 6 8 0
70 1 7 1 1
71 238 151 5 5
72 229 336 3 3
73 2 2 2 0
74 2 5 2 0
75 1 11 1 1
76 0 0 0 0
77 247 128 3 6
78 228 99 1 4
79 1 10 1 0
80 246 200 1 2
81 3 0 3 0
82 238 139 3 4
83 0 41 0 0
84 246 580 2 14
85 247 153 1 3
86 142 112 2 3
87 176 181 1 6
88 246 251 2 2
89 2 10 2 0
90 2 2 2 0
91 130 66 4 0
92 5 2 5 0
93 2 4 2 0
94 135 326 1 5
95 113 51 0 2
96 245 118 3 3
97 0 2 0 0
