Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 321 147 4 2
1 306 265 7 5
2 441 447 9 12
3 327 408 7 5
4 395 426 10 8
5 378 956 11 29
6 412 335 7 11
7 139 13 7 1
8 273 65 3 3
9 321 47 6 2
10 357 118 7 8
11 8 94 8 0
12 388 171 12 7
13 10 89 10 1
14 382 435 12 8
15 391 579 7 15
16 411 122 6 3
17 428 873 7 32
18 464 295 5 3
19 416 355 8 6
20 452 414 6 6
21 445 405 13 9
22 7 64 7 0
23 96 14 2 1
24 446 268 12 7
25 98 122 3 4
26 440 237 10 4
27 443 282 10 2
28 10 113 10 4
29 371 128 8 4
30 24 9 1 0
31 443 317 14 6
32 454 530 6 16
33 446 1636 6 51
34 16 14 0 0
35 442 464 8 6
36 0 2 0 1
37 16 3 2 1
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 4 0 0 0
45 0 0 0 0
46 0 0 0 0
47 14 0 6 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 30 3 6 0
