Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 353 129 4 7
1 358 177 8 12
2 522 674 12 8
3 7 14 7 0
4 10 30 10 2
5 480 924 11 35
6 488 332 6 10
7 9 26 9 0
8 368 61 4 1
9 359 114 7 3
10 7 11 7 1
11 490 220 11 13
12 13 53 13 0
13 530 1491 15 38
14 14 22 14 0
15 481 1535 8 33
16 519 83 5 3
17 521 1643 8 51
18 533 404 5 7
19 529 388 10 14
20 7 14 7 0
21 528 269 13 9
22 530 267 12 6
23 40 4 6 1
24 528 260 13 5
25 5 21 5 0
26 523 172 11 3
27 525 212 10 2
28 11 38 11 2
29 8 23 8 2
30 352 25 5 1
31 525 95 15 3
32 523 325 8 31
33 529 2223 8 64
34 47 14 2 0
35 525 347 9 9
36 133 14 11 1
37 371 24 8 0
38 0 7 0 0
39 12 0 7 0
40 1 6 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 364 5 10 0
45 0 0 0 0
46 0 0 0 0
47 6 5 6 0
48 6 0 0 0
49 0 0 0 0
50 14 0 10 0
51 8 11 8 0
