Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 37 4 2
1 352 244 7 17
2 12 38 12 0
3 7 15 7 0
4 458 215 10 9
5 461 989 12 49
6 6 22 6 0
7 8 16 8 0
8 4 12 4 0
9 8 10 8 0
10 467 178 7 15
11 486 405 9 16
12 519 348 14 10
13 15 32 15 1
14 461 378 15 14
15 450 1310 8 31
16 6 45 6 2
17 8 102 8 4
18 526 551 5 23
19 10 31 10 0
20 530 360 7 13
21 523 312 13 12
22 11 23 11 0
23 6 9 6 1
24 523 197 13 12
25 3 12 3 2
26 11 30 11 1
27 521 102 11 2
28 473 332 11 16
29 523 112 9 10
30 3 22 3 0
31 520 221 15 9
32 7 62 7 3
33 524 2123 8 75
34 20 12 0 1
35 9 33 9 2
36 234 14 11 2
37 10 26 10 0
38 0 0 0 0
39 0 6 0 0
40 2 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 0 0 0 0
45 0 0 0 0
46 0 0 0 0
47 6 5 6 0
48 6 0 0 0
49 7 0 7 0
50 0 0 0 0
51 255 4 8 0
