Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 326 218 4 3
1 329 263 7 1
2 468 761 9 11
3 332 515 7 10
4 438 239 10 8
5 441 1142 11 44
6 438 391 7 15
7 432 27 7 2
8 329 30 4 1
9 330 165 6 4
10 447 109 7 9
11 438 103 6 10
12 12 66 12 1
13 476 1095 12 46
14 14 26 14 0
15 441 1097 7 26
16 6 34 6 0
17 7 123 7 4
18 477 395 5 6
19 475 504 8 10
20 481 312 7 6
21 13 33 13 1
22 9 24 9 0
23 204 13 3 1
24 474 212 12 4
25 207 225 4 4
26 469 215 10 2
27 472 210 10 3
28 11 69 11 1
29 474 153 8 3
30 44 4 1 0
31 471 230 15 7
32 467 409 8 10
33 475 2053 6 58
34 29 18 1 0
35 471 235 9 4
36 20 0 7 0
37 52 8 5 1
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 98 5 9 0
45 0 0 0 0
46 0 0 0 0
47 67 0 6 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 72 5 7 1
