Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 348 80 4 10
1 8 13 8 1
2 443 523 11 76
3 354 364 7 24
4 8 32 8 5
5 11 35 11 5
6 5 34 5 1
7 6 18 6 2
8 4 10 4 1
9 7 9 7 1
10 6 27 6 3
11 9 37 9 3
12 14 40 14 3
13 14 13 14 3
14 376 205 14 20
15 8 39 8 5
16 4 26 4 4
17 6 60 6 6
18 5 22 5 2
19 8 27 8 3
20 6 14 6 1
21 13 31 13 2
22 9 21 9 1
23 1 1 1 1
24 13 25 13 2
25 3 12 3 2
26 9 46 9 6
27 7 29 7 1
28 430 388 11 49
29 8 17 8 4
30 3 13 3 0
31 446 246 15 32
32 7 53 7 7
33 7 47 7 4
34 0 4 0 0
35 8 34 8 5
36 1 8 1 0
37 9 22 9 1
38 0 0 0 0
39 0 6 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 0 0 0 0
45 0 0 0 0
46 0 0 0 0
47 0 0 0 0
48 0 0 0 0
49 7 0 7 0
50 0 0 0 0
51 0 0 0 0
