Number of messages: 14
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 8 13 0 0
1 7 1 1 0
2 4 8 0 2
3 6 3 0 1
4 7 10 3 0
5 0 0 0 0
6 0 0 0 0
7 3 0 0 0
8 0 0 0 0
9 0 0 0 0
10 0 0 0 0
11 0 0 0 0
12 8 27 0 1
13 8 13 0 0
14 8 0 0 0
15 8 47 0 0
16 8 3 0 0
17 7 1 0 0
18 8 0 0 0
19 8 6 0 0
20 5 8 0 0
21 8 9 0 0
22 8 1 0 0
23 4 0 0 0
24 8 8 0 0
25 8 5 0 0
26 8 2 0 0
27 8 8 0 0
28 8 0 0 0
29 6 0 0 0
30 4 6 0 0
31 8 2 0 0
32 4 0 0 0
33 1 0 0 0
34 8 0 0 0
35 8 0 0 0
36 4 0 0 0
37 4 0 0 0
38 6 5 0 0
39 8 0 0 0
40 2 0 0 0
41 8 2 0 0
42 8 2 0 0
43 6 0 0 0
44 8 17 0 0
45 6 8 0 0
46 8 7 0 0
47 8 3 0 0
48 8 0 0 0
49 8 0 0 0
50 8 3 0 0
51 8 3 0 0
52 8 2 0 0
53 4 1 0 0
54 4 0 0 0
55 8 12 0 0
56 8 0 0 0
57 4 0 0 0
58 8 2 0 0
59 8 2 0 0
60 8 0 0 0
61 4 4 0 0
62 8 1 0 0
63 8 15 0 0
64 4 9 0 0
65 8 2 0 0
66 8 8 0 0
67 5 7 0 0
68 5 4 0 0
69 8 7 0 0
70 8 11 0 0
71 7 10 0 0
72 8 39 0 0
73 8 1 0 0
74 8 8 0 0
75 6 0 0 0
76 8 0 0 0
77 0 0 0 0
78 8 7 0 0
79 8 27 0 0
80 8 7 0 0
81 6 0 0 0
82 8 53 0 0
83 8 0 0 0
84 8 13 0 0
85 8 8 0 0
86 7 9 0 0
87 8 1 0 0
88 8 16 0 0
89 8 19 0 0
90 8 6 0 0
91 8 9 0 0
92 8 21 0 0
93 4 0 0 0
94 8 9 0 0
95 8 3 0 0
96 8 46 0 0
97 8 4 0 0
