Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 2 11 2 1
1 2 9 2 0
2 4 15 4 2
3 242 482 2 18
4 1 10 1 1
5 2 15 2 2
6 2 4 2 0
7 3 8 3 1
8 4 2 4 0
9 1 12 1 0
10 1 4 1 0
11 4 6 4 0
12 229 241 3 19
13 3 8 3 0
14 4 10 4 0
15 0 0 0 0
16 2 0 2 0
17 2 5 2 1
18 0 4 0 0
19 1 3 1 0
20 2 3 2 1
21 1 6 1 0
22 133 146 1 6
23 3 19 3 0
24 4 17 4 0
25 4 7 4 1
26 1 14 1 0
27 2 5 2 0
28 3 3 3 0
29 242 217 4 13
30 2 17 2 1
31 7 15 7 0
32 242 143 3 7
33 1 3 1 0
34 240 125 4 5
35 0 17 0 1
36 1 6 1 1
37 2 8 2 0
38 6 10 6 1
39 2 7 2 0
40 243 244 1 13
41 2 15 2 0
42 2 18 2 1
43 3 25 3 0
44 5 1 5 0
45 3 15 3 1
46 1 4 1 0
47 2 0 2 0
48 0 10 0 1
49 2 0 2 0
50 1 14 1 0
51 3 13 3 0
52 2 18 2 0
53 0 7 0 0
54 224 168 3 3
55 242 244 5 15
56 3 2 3 1
57 2 0 2 0
58 2 3 2 0
59 240 236 0 11
60 2 20 2 1
61 174 77 1 10
62 3 0 3 0
63 2 1 2 0
64 1 6 1 0
65 1 5 1 1
66 3 4 3 0
67 1 6 1 0
68 188 112 1 1
69 8 5 8 0
70 1 8 1 1
71 5 1 5 0
72 3 17 3 1
73 2 4 2 0
74 185 157 2 8
75 223 261 1 9
76 0 0 0 0
77 3 3 3 0
78 1 0 1 0
79 1 11 1 0
80 1 1 1 0
81 244 147 3 9
82 223 140 3 5
83 0 24 0 0
84 2 3 2 0
85 242 221 1 17
86 2 4 2 1
87 1 1 1 0
88 2 0 2 0
89 2 11 2 1
90 2 3 2 0
91 123 47 4 0
92 5 3 5 0
93 2 6 2 0
94 131 192 1 13
95 105 100 0 7
96 3 7 3 1
97 0 4 0 0
