Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 306 137 4 20
1 6 16 6 2
2 9 40 9 1
3 7 15 7 1
4 388 262 9 28
5 10 36 10 2
6 6 39 6 2
7 4 10 4 2
8 4 12 4 2
9 6 13 6 2
10 6 12 6 2
11 7 22 7 1
12 12 29 12 3
13 10 28 10 2
14 11 28 11 0
15 7 16 7 2
16 4 39 4 3
17 6 52 6 7
18 4 32 4 2
19 429 360 8 37
20 6 13 6 1
21 13 19 13 2
22 9 33 9 2
23 1 1 1 1
24 12 32 12 3
25 4 12 4 2
26 9 34 9 3
27 9 25 9 1
28 11 29 11 5
29 7 25 7 3
30 1 1 1 1
31 14 20 14 0
32 6 41 6 3
33 429 278 5 111
34 0 1 0 0
35 8 29 8 2
36 0 2 0 1
37 2 2 2 2
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 4 0 0 0
45 0 0 0 0
46 0 0 0 0
47 0 0 0 0
48 2 0 0 0
49 0 0 0 0
50 0 0 0 0
51 7 1 7 0
