Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 239 371 2 11
1 2 8 2 0
2 4 21 4 2
3 2 4 2 0
4 237 371 1 6
5 3 23 3 1
6 225 100 2 1
7 3 2 3 0
8 227 13 4 1
9 1 12 1 0
10 2 5 2 0
11 224 166 4 2
12 3 5 3 1
13 3 5 3 0
14 4 10 4 0
15 0 0 0 0
16 241 275 2 7
17 192 135 2 2
18 192 25 0 0
19 192 190 1 2
20 238 29 3 0
21 1 19 1 0
22 135 76 1 1
23 3 13 3 0
24 4 11 4 0
25 4 13 4 1
26 182 378 1 13
27 2 4 2 0
28 3 7 3 0
29 4 6 4 1
30 2 9 2 0
31 238 99 7 4
32 3 7 3 0
33 144 65 1 3
34 4 6 4 0
35 0 19 0 0
36 1 8 1 0
37 239 288 2 8
38 6 6 6 0
39 2 3 2 0
40 1 3 1 1
41 239 176 2 4
42 240 396 2 15
43 3 19 3 0
44 4 1 4 0
45 3 14 3 0
46 1 3 1 0
47 2 0 2 0
48 239 314 0 14
49 2 0 2 0
50 239 298 1 5
51 233 284 3 9
52 235 308 2 8
53 0 13 0 0
54 3 3 3 0
55 6 7 6 0
56 224 100 3 5
57 1 0 1 0
58 216 86 2 2
59 0 13 0 0
60 224 756 2 13
61 1 5 1 0
62 3 0 3 0
63 1 1 1 0
64 238 85 1 2
65 1 2 1 0
66 241 128 3 3
67 1 2 1 0
68 1 2 1 0
69 8 5 8 0
70 202 208 1 7
71 231 158 5 3
72 221 221 3 8
73 241 291 2 5
74 200 172 2 4
75 1 10 1 1
76 0 0 0 0
77 3 4 3 0
78 1 0 1 0
79 238 358 1 3
80 1 1 1 0
81 3 0 3 0
82 4 4 4 0
83 0 38 0 0
84 240 502 2 16
85 1 2 1 0
86 2 4 2 0
87 1 4 1 0
88 2 0 2 0
89 2 8 2 0
90 236 111 2 6
91 4 9 4 0
92 239 209 5 3
93 119 36 2 1
94 135 196 1 5
95 116 76 0 2
96 241 72 3 3
97 65 45 0 1
