# time  created  delivered  delivered/created
1000.0000 1 0 0.0000
1780.0000 1 1 1.0000
2000.0000 2 1 0.5000
2143.0000 2 2 1.0000
3000.0000 3 2 0.6667
3004.0000 3 3 1.0000
4000.0000 4 3 0.7500
5000.0000 5 3 0.6000
5008.0000 5 4 0.8000
6000.0000 6 4 0.6667
7000.0000 7 4 0.5714
7311.0000 7 5 0.7143
8000.0000 8 5 0.6250
8004.0000 8 6 0.7500
8495.0000 8 7 0.8750
9000.0000 9 7 0.7778
9004.0000 9 8 0.8889
10000.0000 10 8 0.8000
10800.0000 10 9 0.9000
11000.0000 11 9 0.8182
12000.0000 12 9 0.7500
13000.0000 13 9 0.6923
13170.0000 13 10 0.7692
14000.0000 14 10 0.7143
15000.0000 15 10 0.6667
15519.0000 15 11 0.7333
16000.0000 16 11 0.6875
16148.0000 16 12 0.7500
16152.0000 16 13 0.8125
17000.0000 17 13 0.7647
17543.0000 17 14 0.8235
18000.0000 18 14 0.7778
18882.0000 18 15 0.8333
19000.0000 19 15 0.7895
20000.0000 20 15 0.7500
21000.0000 21 15 0.7143
22000.0000 22 15 0.6818
22638.0000 22 16 0.7273
23000.0000 23 16 0.6957
24000.0000 24 16 0.6667
25000.0000 25 16 0.6400
26000.0000 26 16 0.6154
27000.0000 27 16 0.5926
28000.0000 28 16 0.5714
29000.0000 29 16 0.5517
30000.0000 30 16 0.5333
31000.0000 31 16 0.5161
32000.0000 32 16 0.5000
33000.0000 33 16 0.4848
34000.0000 34 16 0.4706
35000.0000 35 16 0.4571
36000.0000 36 16 0.4444
37000.0000 37 16 0.4324
38000.0000 38 16 0.4211
39000.0000 39 16 0.4103
40000.0000 40 16 0.4000
41000.0000 41 16 0.3902
42000.0000 42 16 0.3810
43000.0000 43 16 0.3721
44000.0000 44 16 0.3636
45000.0000 45 16 0.3556
46000.0000 46 16 0.3478
47000.0000 47 16 0.3404
48000.0000 48 16 0.3333
49000.0000 49 16 0.3265
50000.0000 50 16 0.3200
51000.0000 51 16 0.3137
52000.0000 52 16 0.3077
53000.0000 53 16 0.3019
54000.0000 54 16 0.2963
55000.0000 55 16 0.2909
56000.0000 56 16 0.2857
57000.0000 57 16 0.2807
58000.0000 58 16 0.2759
59000.0000 59 16 0.2712
60000.0000 60 16 0.2667
61000.0000 61 16 0.2623
62000.0000 62 16 0.2581
63000.0000 63 16 0.2540
64000.0000 64 16 0.2500
65000.0000 65 16 0.2462
66000.0000 66 16 0.2424
67000.0000 67 16 0.2388
68000.0000 68 16 0.2353
69000.0000 69 16 0.2319
70000.0000 70 16 0.2286
71000.0000 71 16 0.2254
72000.0000 72 16 0.2222
73000.0000 73 16 0.2192
74000.0000 74 16 0.2162
74430.0000 74 17 0.2297
75000.0000 75 17 0.2267
76000.0000 76 17 0.2237
77000.0000 77 17 0.2208
78000.0000 78 17 0.2179
79000.0000 79 17 0.2152
80000.0000 80 17 0.2125
80319.0000 80 18 0.2250
80327.0000 80 19 0.2375
80331.0000 80 20 0.2500
80335.0000 80 21 0.2625
81000.0000 81 21 0.2593
82000.0000 82 21 0.2561
83000.0000 83 21 0.2530
83564.0000 83 22 0.2651
84000.0000 84 22 0.2619
84074.0000 84 23 0.2738
84079.0000 84 24 0.2857
85000.0000 85 24 0.2824
85256.0000 85 25 0.2941
85260.0000 85 26 0.3059
85265.0000 85 27 0.3176
86000.0000 86 27 0.3140
87000.0000 87 27 0.3103
87001.0000 87 28 0.3218
87005.0000 87 29 0.3333
87009.0000 87 30 0.3448
87014.0000 87 31 0.3563
87405.0000 87 32 0.3678
87409.0000 87 33 0.3793
87414.0000 87 34 0.3908
87418.0000 87 35 0.4023
88000.0000 88 35 0.3977
88004.0000 88 36 0.4091
88008.0000 88 37 0.4205
88012.0000 88 38 0.4318
88106.0000 88 39 0.4432
88110.0000 88 40 0.4545
88114.0000 88 41 0.4659
88220.0000 88 42 0.4773
88224.0000 88 43 0.4886
88877.0000 88 44 0.5000
88881.0000 88 45 0.5114
88972.0000 88 46 0.5227
88976.0000 88 47 0.5341
88980.0000 88 48 0.5455
89000.0000 89 48 0.5393
90000.0000 90 48 0.5333
91000.0000 91 48 0.5275
92000.0000 92 48 0.5217
92064.0000 92 49 0.5326
92068.0000 92 50 0.5435
92299.0000 92 51 0.5543
92303.0000 92 52 0.5652
92307.0000 92 53 0.5761
92311.0000 92 54 0.5870
92315.0000 92 55 0.5978
93000.0000 93 55 0.5914
94000.0000 94 55 0.5851
95000.0000 95 55 0.5789
96000.0000 96 55 0.5729
96008.0000 96 56 0.5833
96218.0000 96 57 0.5938
97000.0000 97 57 0.5876
98000.0000 98 57 0.5816
99000.0000 99 57 0.5758
100000.0000 100 57 0.5700
101000.0000 101 57 0.5644
101873.0000 101 58 0.5743
102000.0000 102 58 0.5686
102385.0000 102 59 0.5784
102981.0000 102 60 0.5882
103000.0000 103 60 0.5825
103004.0000 103 61 0.5922
104000.0000 104 61 0.5865
104972.0000 104 62 0.5962
105000.0000 105 62 0.5905
105915.0000 105 63 0.6000
106000.0000 106 63 0.5943
107000.0000 107 63 0.5888
108000.0000 108 63 0.5833
109000.0000 109 63 0.5780
110000.0000 110 63 0.5727
111000.0000 111 63 0.5676
112000.0000 112 63 0.5625
112004.0000 112 64 0.5714
112629.0000 112 65 0.5804
113000.0000 113 65 0.5752
114000.0000 114 65 0.5702
115000.0000 115 65 0.5652
116000.0000 116 65 0.5603
117000.0000 117 65 0.5556
118000.0000 118 65 0.5508
119000.0000 119 65 0.5462
120000.0000 120 65 0.5417
121000.0000 121 65 0.5372
122000.0000 122 65 0.5328
123000.0000 123 65 0.5285
124000.0000 124 65 0.5242
125000.0000 125 65 0.5200
