Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 244 410 2 8
1 234 189 2 4
2 240 477 4 4
3 246 414 2 10
4 240 456 1 1
5 237 383 3 5
6 2 6 2 0
7 3 5 3 0
8 243 67 4 3
9 1 12 1 0
10 2 5 2 0
11 230 205 4 3
12 241 381 4 7
13 179 189 3 2
14 183 324 4 6
15 0 0 0 0
16 244 385 2 5
17 2 5 2 1
18 0 4 0 0
19 1 3 1 0
20 241 24 3 1
21 242 128 1 3
22 135 77 1 1
23 240 153 3 1
24 4 17 4 0
25 244 101 4 4
26 1 13 1 0
27 185 65 2 3
28 3 7 3 0
29 246 213 4 5
30 241 112 2 0
31 241 145 7 1
32 244 63 3 0
33 144 79 1 2
34 245 126 4 1
35 241 211 0 4
36 141 98 1 3
37 246 310 2 6
38 199 178 6 1
39 2 7 2 0
40 1 3 1 1
41 244 188 2 2
42 245 373 2 7
43 3 24 3 0
44 247 131 5 1
45 3 15 3 0
46 1 4 1 0
47 249 471 2 6
48 244 345 0 9
49 2 0 2 0
50 1 18 1 1
51 237 416 3 5
52 239 216 2 2
53 238 136 0 2
54 239 157 3 2
55 244 220 6 5
56 232 89 3 4
57 2 0 2 0
58 2 4 2 0
59 241 281 0 3
60 2 21 2 0
61 1 8 1 0
62 3 0 3 0
63 247 210 2 4
64 1 4 1 0
65 1 3 1 0
66 3 4 3 0
67 1 4 1 0
68 189 64 1 1
69 8 5 8 0
70 1 8 1 1
71 235 129 5 1
72 228 356 3 9
73 2 5 2 0
74 201 106 2 1
75 238 236 1 7
76 244 174 0 6
77 3 8 3 0
78 198 159 1 4
79 1 15 1 0
80 245 187 1 0
81 246 146 3 3
82 4 16 4 0
83 194 887 0 18
84 2 4 2 0
85 246 160 1 4
86 2 4 2 0
87 177 208 1 2
88 248 225 2 4
89 236 289 2 3
90 240 189 2 2
91 129 98 4 0
92 5 2 5 0
93 2 20 2 0
94 1 3 1 0
95 0 0 0 0
96 246 105 3 3
97 66 67 0 2
