Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 2 29 2 1
1 212 105 2 1
2 231 363 4 6
3 240 395 2 7
4 235 350 1 1
5 2 32 2 1
6 209 20 2 0
7 3 14 3 0
8 223 78 4 1
9 233 345 1 6
10 2 9 2 0
11 4 12 4 0
12 2 6 2 1
13 3 25 3 0
14 178 280 4 5
15 0 0 0 0
16 238 264 2 6
17 1 4 1 1
18 16 1 0 0
19 1 7 1 0
20 2 6 2 1
21 1 29 1 0
22 133 77 1 0
23 233 248 3 3
24 230 251 4 5
25 220 294 4 2
26 182 240 1 9
27 182 64 2 0
28 3 23 3 0
29 4 14 4 0
30 229 168 2 2
31 235 173 7 0
32 239 128 3 4
33 143 62 1 0
34 4 17 4 0
35 232 158 0 2
36 1 38 1 0
37 235 321 2 10
38 189 203 6 5
39 235 172 2 2
40 240 201 1 3
41 238 158 1 0
42 2 26 2 0
43 3 46 3 0
44 5 3 5 0
45 217 219 3 4
46 230 162 0 1
47 2 0 2 0
48 235 301 0 8
49 235 154 2 2
50 1 56 1 0
51 221 412 3 4
52 2 45 2 1
53 231 164 0 5
54 226 212 3 3
55 235 325 6 8
56 210 77 3 4
57 1 0 1 0
58 201 87 2 3
59 0 44 0 0
60 210 370 2 9
61 173 83 1 3
62 3 0 3 0
63 2 2 2 0
64 233 79 1 2
65 185 188 1 3
66 238 110 3 1
67 184 100 1 2
68 1 2 1 0
69 8 18 8 0
70 1 17 1 1
71 166 156 5 3
72 3 35 3 0
73 213 226 2 7
74 2 39 2 0
75 1 32 1 1
76 238 231 0 2
77 3 32 3 0
78 180 198 1 4
79 236 298 1 6
80 203 176 1 4
81 3 0 3 0
82 3 21 3 0
83 0 85 0 0
84 2 5 2 0
85 226 248 1 6
86 140 158 2 3
87 1 8 1 0
88 237 292 2 2
89 224 264 2 6
90 196 146 2 6
91 128 63 4 1
92 236 310 5 3
93 112 87 2 1
94 1 11 1 0
95 98 88 0 1
96 197 82 3 4
97 63 75 0 2
