Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 240 244 2 9
1 239 66 2 2
2 4 21 4 1
3 243 313 3 5
4 1 18 1 1
5 3 19 3 1
6 2 3 2 0
7 3 2 3 0
8 242 24 4 1
9 1 11 1 0
10 2 4 2 0
11 4 3 4 0
12 3 7 3 1
13 3 5 3 0
14 183 375 4 4
15 243 708 0 15
16 2 0 2 0
17 196 85 2 3
18 196 36 0 0
19 196 227 1 2
20 3 2 3 0
21 241 196 1 2
22 1 0 1 0
23 3 11 3 0
24 240 393 4 5
25 4 8 4 1
26 185 336 1 13
27 184 45 2 0
28 241 85 3 0
29 4 7 4 1
30 2 13 2 0
31 240 134 7 1
32 3 11 3 0
33 145 120 1 3
34 241 146 4 5
35 0 10 0 0
36 142 86 1 1
37 2 9 2 0
38 199 138 6 2
39 2 2 2 0
40 1 5 1 1
41 2 8 2 0
42 242 280 2 7
43 237 321 3 3
44 244 84 5 0
45 238 355 3 7
46 241 164 1 4
47 2 0 2 0
48 242 326 0 13
49 245 116 2 1
50 1 6 1 0
51 238 267 3 5
52 237 213 2 9
53 237 244 0 3
54 240 188 3 5
55 6 5 6 1
56 3 2 3 1
57 243 233 2 5
58 2 4 2 0
59 240 153 0 3
60 235 829 2 9
61 1 9 1 0
62 3 0 3 0
63 1 0 1 0
64 241 75 1 5
65 198 109 1 0
66 3 2 3 0
67 187 286 1 1
68 189 29 1 1
69 8 3 8 0
70 1 5 1 1
71 5 4 5 0
72 3 12 3 1
73 242 276 2 7
74 2 4 2 0
75 238 197 1 5
76 0 0 0 0
77 3 3 3 0
78 223 202 1 4
79 1 8 1 0
80 1 1 1 0
81 245 141 3 3
82 4 10 4 0
83 0 38 0 0
84 243 392 2 13
85 1 2 1 0
86 142 84 2 0
87 1 2 1 0
88 244 277 2 5
89 237 231 2 11
90 2 2 2 0
91 4 14 4 0
92 5 2 5 0
93 121 59 2 0
94 135 211 1 5
95 115 86 0 0
96 3 15 3 0
97 71 70 0 1
